CRUISE6, PURPOSE_CODE, PURPOSE, STATUS_CODE, STATUS, SEASON, YEAR
197703,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SPRING,1977
197708,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,FALL,1977
197803,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1978
197810,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1978
197906,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SPRING,1979
198003,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SPRING,1980
198110,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1981
198203,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1982
198304,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1983
198404,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1984
198507,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1985
198605,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1986
198704,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1987
198802,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1988
198902,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1989
199003,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1990
199104,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1991
199205,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1992
199304,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1993
199403,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1994
199504,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1995
199603,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1996
199705,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1997
199803,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1998
199907,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,1999
200004,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2000
200107,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2001
200207,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2002
200305,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2003
200405,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2004
200508,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2005
200608,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2006
200707,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2007
200806,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2008
200903,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2009
201003,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2010
201103,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2011
201203,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2012
201303,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2013
201403,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2014
201503,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2015
201603,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2016
201703,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2017
201803,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2018
201903,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2019
202103,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2021
202203,60,NMFS NEFSC SEA SCALLOP SURVEY,10,Audited,SUMMER,2022
