year,total_weight,total_value,total_trips,total_harvs
1950,1434400,37654,0,0
1951,749700,27731,0,0
1952,375400,15204,0,0
1953,598400,29110,0,0
1954,519600,27498,0,0
1955,499300,25977,0,0
1956,1199700,34797,0,0
1957,756400,36462,0,0
1958,1210400,45828,0,0
1959,1358500,54964,0,0
1960,1225300,53636,0,0
1961,1579300,58385,0,0
1962,1751500,67952,0,0
1963,2010900,84522,0,0
1964,1914617,78155,0,0
1965,1847907,73591,0,0
1966,1774188,75111,0,0
1967,1678413,75623,0,0
1968,1452647,77275,0,0
1969,1185061,66460,0,0
1970,1571140,89651,0,0
1971,789765,52326,0,0
1972,753805,63020,0,0
1973,1121197,109004,0,0
1974,963820,91902,0,0
1975,1271164,676706,0,0
1976,1143725,101525,0,0
1977,1433596,142106,0,0
1978,1510374,180474,0,0
1979,1344179,213616,0,0
1980,1275695,248401,0,0
1981,987966,188733,0,0
1982,1802225,345681,0,0
1983,2042635,445953,0,0
1984,2330960,481853,0,0
1985,2321353,438486,0,0
1986,1862525,383215,0,0
1987,3303457,693737,0,0
1988,3120498,667531,0,0
1989,3433600,839926,0,0
1990,3596796,831615,0,0
1991,2968451,687576,0,0
1992,1930396,540158,0,0
1993,2124193,569915,0,0
1994,2012073,536073,0,0
1995,2193658,658691,0,0
1996,1800214,578015,0,0
1997,2820385,1002918,0,0
1998,3107696,1115038,0,0
1999,2752114,952452,0,0
2000,5236116,2196336,0,0
2001,8060739,3431119,0,0
2002,9535876,4101047,0,0
2003,6554938,2684181,0,0
2004,5861264,2302868,0,0
2005,6005511,2330780,0,0
2006,4489135,1650630,0,0
2007,4768539,1713728,0,0
2008,3588539,1295443,0,0
2009,3289739,1174027,0,0
2010,3231202,1113694,0,0
2011,2477058,943612,0,0
2012,1725695,709865,0,0
2013,1383877,668011,0,0
2014,1793245,806618,0,0
2015,897994,897994,0,0
2016,1028133,1028133,0,0
2017,1783173,1783173,0,0
2018,2200143,2200143,0,0
2019,1462492,1462492,0,0
