year,total_weight,total_value,total_trips,total_harvs
2008,3588217.87,1295224.552,28976,1479
2009,3289394.17,1173694.0999999999,24526,1431
2010,3231201.52,1113694.4440000001,22825,1244
2011,2477057.69,943611.8859999999,18027,1046
2012,1725695.19,709864.606,13887,826
2013,1383877.3699999999,668010.616,11012,688
2014,1793245.31,806617.786,9876,703
2015,1799798.98,897953.669,10282,731
2016,2085038.46,1027964.965,10041,747
2017,3369809,1783173.275,16160,936
2018,3594447.04,2191456.627,17029,964
2019,1214257.8,597583.706,7978,469
2020,1827304.98,1014183.377,10388,730
2021,2626215.7199999997,1957132.083,16771,1037
2022,2935031.98,2662028.261,16734,1046
