"","year","firstStation"
"1",2003,49
"2",2003,55
"3",2003,66
"4",2003,76
"5",2003,86
"6",2003,151
"7",2003,173
"8",2003,178
"9",2003,185
"10",2003,198
"11",2003,210
"12",2003,248
"13",2003,273
"14",2003,282
"15",2003,312
"16",2003,326
"17",2003,369
"18",2003,431
"19",2003,454
"20",2003,465
"21",2003,486
"22",2003,498
"23",2005,40
"24",2005,241
"25",2005,309
"26",2005,324
"27",2005,345
"28",2005,351
"29",2005,364
"30",2006,398
"31",2006,505
"32",2006,531
"33",2007,209
"34",2007,480
"35",2010,4
"36",2010,189
"37",2010,428
"38",2010,493
"39",2011,94
"40",2011,194
"41",2012,73
"42",2012,106
"43",2012,111
"44",2013,137
"45",2013,163
"46",2013,186
"47",2017,30
"48",2017,87
"49",2018,130
