CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,SVSPP,CATCHSEX,INDID,LENGTH,INDWT,SEX,MATURITY,AGE,AGE_DATA_FLAG,STOM_VOLUME,STOM_WGT,CUTTER,RECORDER,IND_FISH_COMMENTS
197906,979,06310,021,0009,10,197906063100210009,401,,,0.95,,0,,4, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,1.07,,0,,5, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,9.8,,0,,4, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,10.1,,0,,4, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,10.7,,0,,4, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,11.5,,0,,5, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,11.8,,0,,6, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,12.8,,0,,8, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,9.5,,0,,3, ,,, , , 
197906,979,06310,021,0009,10,197906063100210009,401,,,10.3,,0,,4, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,1.17,,0,,6, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,12.9,,0,,7, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.9,,0,,6, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.8,,0,,6, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.7,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.7,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.6,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.5,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,11.4,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,10.8,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,10.8,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,10.5,,0,,5, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,10.3,,0,,4, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,10.2,,0,,4, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,6.3,,0,,2, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,6.1,,0,,2, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,5.8,,0,,2, ,,, , , 
197906,979,06310,008,0010,10,197906063100080010,401,,,4.9,,0,,1, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,7,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,4,,0,,1, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,11.6,,0,,5, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,11,,0,,5, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,10.9,,0,,5, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,10.1,,0,,4, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,10,,0,,4, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,9.8,,0,,4, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,9.4,,0,,4, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,8.1,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,7.3,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,7,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,7,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,7,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,6.8,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,6.7,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,6.5,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,6.3,,0,,2, ,,, , , 
197906,979,06300,005,0018,10,197906063000050018,401,,,12,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.7,,0,,7, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,1.03,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,1.13,,0,,7, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,7.6,,0,,3, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,8.5,,0,,4, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,9.7,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,10,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,10.1,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,10.1,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,10.3,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,10.7,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.1,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.3,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.4,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.5,,0,,7, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.7,,0,,7, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.7,,0,,7, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.8,,0,,8, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,12.1,,0,,7, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,12.6,,0,,8, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,12.2,,0,,8, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,1.01,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,9.7,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,10.1,,0,,5, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11,,0,,6, ,,, , , 
197906,979,06310,003,0019,10,197906063100030019,401,,,11.2,,0,,6, ,,, , , 
197906,979,06310,006,0020,10,197906063100060020,401,,,12,,0,,6, ,,, , , 
197906,979,06310,006,0020,10,197906063100060020,401,,,10.4,,0,,4, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.5,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,13.1,,0,,9, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,1.17,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.3,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.3,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.3,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.8,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.9,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.9,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.2,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.3,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.3,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.5,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.5,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.6,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.3,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.5,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.5,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.6,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.8,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,12.8,,0,,8, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,13.7,,0,,10, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,9.8,,0,,5, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,10.6,,0,,6, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.4,,0,,7, ,,, , , 
197906,979,06310,020,0021,10,197906063100200021,401,,,11.7,,0,,7, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,1.15,,0,,6, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,1.15,,0,,6, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,11.5,,0,,5, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,12,,0,,5, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,11.8,,0,,5, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,11.2,,0,,5, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,10.8,,0,,4, ,,, , , 
197906,979,06310,019,0024,10,197906063100190024,401,,,1.2,,0,,7, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,7.8,,0,,3, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,8,,0,,3, ,,, , , 
