Season,Year,Tow_Number,Region,Stratum,Common_Name,Length,Unit_of_Length,Frequency,Sex
Fall,2000,40,3,3,Crab Jonah,11,CM,2.5,
Fall,2000,42,3,3,Crab Jonah,11,CM,0.7999999999999999,
Fall,2000,42,3,3,Crab Jonah,13,CM,2.4,
Fall,2000,42,3,3,Crab Jonah,15,CM,0.7999999999999999,
Fall,2000,42,3,3,Crab Jonah,16,CM,0.7999999999999999,
Fall,2000,42,3,3,Crab Jonah,10,CM,0.7999999999999999,
Fall,2000,42,3,3,Crab Jonah,12,CM,1.5999999999999999,
Fall,2000,44,3,3,Crab Jonah,14,CM,1.25,
Fall,2000,44,3,3,Crab Jonah,17,CM,1.25,
Fall,2000,44,3,3,Crab Jonah,15,CM,2.5,
Fall,2000,44,3,3,Crab Jonah,10,CM,1.25,
Fall,2000,44,3,3,Crab Jonah,13,CM,1.25,
Fall,2000,45,4,1,Crab Jonah,11,CM,1.1111111111111112,
Fall,2000,45,4,1,Crab Jonah,12,CM,1.1111111111111112,
Fall,2000,45,4,1,Crab Jonah,10,CM,2.2222222222222223,
Fall,2000,45,4,1,Crab Jonah,8,CM,1.1111111111111112,
Fall,2000,45,4,1,Crab Jonah,9,CM,1.1111111111111112,
Fall,2000,46,4,3,Crab Jonah,16,CM,1,
Fall,2000,46,4,3,Crab Jonah,7,CM,1,
Fall,2000,46,4,3,Crab Jonah,8,CM,3,
Fall,2000,46,4,3,Crab Jonah,10,CM,2,
Fall,2000,46,4,3,Crab Jonah,14,CM,1,
Fall,2000,46,4,3,Crab Jonah,11,CM,1,
Fall,2000,48,4,3,Crab Jonah,10,CM,3.1578947368421053,
Fall,2000,48,4,3,Crab Jonah,13,CM,1.0526315789473684,
Fall,2000,48,4,3,Crab Jonah,12,CM,1.0526315789473684,
Fall,2000,48,4,3,Crab Jonah,11,CM,3.1578947368421053,
Fall,2000,48,4,3,Crab Jonah,18,CM,1.0526315789473684,
Fall,2000,49,4,2,Crab Jonah,12,CM,2,
Fall,2000,52,4,3,Crab Jonah,12,CM,2,
Fall,2000,53,4,3,Crab Jonah,12,CM,1,
Fall,2000,53,4,3,Crab Jonah,16,CM,1,
Fall,2000,54,4,2,Crab Jonah,16,CM,1,
Fall,2000,59,4,3,Crab Jonah,10,CM,3,
Fall,2000,59,4,3,Crab Jonah,13,CM,1,
Fall,2000,59,4,3,Crab Jonah,9,CM,1,
Fall,2000,59,4,3,Crab Jonah,12,CM,2,
Fall,2000,59,4,3,Crab Jonah,15,CM,1,
Fall,2000,59,4,3,Crab Jonah,11,CM,1,
Fall,2000,60,4,3,Crab Jonah,15,CM,0.9090909090909091,
