Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Common_Name,Number_Caught,Weight_kg,Subsample_Weight_kg,Subsample_Weight_kg_2,Male_Wt_kg,Female_Wt_kg,Expanded_Catch,Expanded_Weight_kg
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Crab Atlantic Rock,2,0.1,0,,,,2,0.1
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Crab Atlantic Rock,2,0.5,0,,,,2,0.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Crab Atlantic Rock,4,0.5,0,,,,4,0.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Crab Atlantic Rock,1,0.5,0,,,,1,0.5
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Crab Atlantic Rock,1,0.01,0,,,,1,0.01
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL00,Fall,2000,13,1,3,96,2000-11-04T00:00:00Z,Crab Atlantic Rock,1,0.15,0,,,,1,0.15
FL00,Fall,2000,15,2,3,556,2000-11-04T00:00:00Z,Crab Atlantic Rock,2,0.25,0,,,,2,0.25
FL00,Fall,2000,16,2,3,553,2000-11-04T00:00:00Z,Crab Atlantic Rock,1,0.3,0,,,,1,0.3
FL00,Fall,2000,18,2,1,220,2000-11-06T00:00:00Z,Crab Atlantic Rock,2,0.4,0,,,,2,0.4
FL00,Fall,2000,19,2,3,463,2000-11-07T00:00:00Z,Crab Atlantic Rock,2,0.3,0,,,,2,0.3
FL00,Fall,2000,21,2,1,264,2000-11-07T00:00:00Z,Crab Atlantic Rock,4,0.8,0,,,,4,0.8
FL00,Fall,2000,22,2,1,108,2000-11-08T00:00:00Z,Crab Atlantic Rock,1,0.01,0,,,,1,0.01
FL00,Fall,2000,23,2,2,194,2000-11-08T00:00:00Z,Crab Atlantic Rock,2,0.4,0,,,,2,0.4
FL00,Fall,2000,24,2,3,533,2000-11-08T00:00:00Z,Crab Atlantic Rock,1,0.5,0,,,,1,0.5
FL00,Fall,2000,25,2,3,446,2000-11-08T00:00:00Z,Crab Atlantic Rock,2,0.4,0,,,,2.2222222222222223,0.4444444444444445
FL00,Fall,2000,28,2,1,6,2000-11-09T00:00:00Z,Crab Atlantic Rock,4,0.25,0,,,,4.444444444444445,0.2777777777777778
FL00,Fall,2000,29,2,3,284,2000-11-10T00:00:00Z,Crab Atlantic Rock,4,0.9,0,,,,5.7142857142857135,1.2857142857142856
FL00,Fall,2000,32,3,2,399,2000-11-13T00:00:00Z,Crab Atlantic Rock,5,0.8,0,,,,5.555555555555555,0.888888888888889
FL00,Fall,2000,35,3,1,993,2000-11-14T00:00:00Z,Crab Atlantic Rock,2,0.5,0,,,,2,0.5
FL00,Fall,2000,36,3,1,995,2000-11-14T00:00:00Z,Crab Atlantic Rock,1,0.25,0,,,,1,0.25
FL00,Fall,2000,37,3,2,93,2000-11-14T00:00:00Z,Crab Atlantic Rock,2,0.2,0,,,,2,0.2
FL00,Fall,2000,38,3,2,126,2000-11-14T00:00:00Z,Crab Atlantic Rock,8,1.3,0,,,,8,1.3
FL00,Fall,2000,39,3,1,454,2000-11-15T00:00:00Z,Crab Atlantic Rock,1,0.15,0,,,,2,0.3
FL00,Fall,2000,43,3,2,121,2000-11-20T00:00:00Z,Crab Atlantic Rock,77,9.700000000000001,0,,,,77,9.700000000000001
FL00,Fall,2000,45,4,1,250,2000-11-21T00:00:00Z,Crab Atlantic Rock,6,0.4,0,,,,6.666666666666667,0.4444444444444445
FL00,Fall,2000,47,4,3,589,2000-11-21T00:00:00Z,Crab Atlantic Rock,1,0.05,0,,,,1,0.05
FL00,Fall,2000,49,4,2,286,2000-11-22T00:00:00Z,Crab Atlantic Rock,8,0.65,0,,,,8,0.65
FL00,Fall,2000,50,4,1,175,2000-11-22T00:00:00Z,Crab Atlantic Rock,13,1.5,0,,,,10.399999999999999,1.2
FL00,Fall,2000,51,4,1,31,2000-11-22T00:00:00Z,Crab Atlantic Rock,1,0.05,0,,,,1,0.05
FL00,Fall,2000,53,4,3,165,2000-11-27T00:00:00Z,Crab Atlantic Rock,3,0.6,0,,,,3,0.6
FL00,Fall,2000,54,4,2,77,2000-11-28T00:00:00Z,Crab Atlantic Rock,2,0.2,0,,,,2,0.2
FL00,Fall,2000,55,4,2,94,2000-11-28T00:00:00Z,Crab Atlantic Rock,7,0.8,0,,,,7,0.8
FL00,Fall,2000,56,4,2,37,2000-11-28T00:00:00Z,Crab Atlantic Rock,2,0.3,0,,,,2,0.3
FL00,Fall,2000,61,4,2,99,2000-11-29T00:00:00Z,Crab Atlantic Rock,2,0.15,0,,,,2.1052631578947367,0.15789473684210525
