Season,Year,Tow_Number,Region,Stratum,Common_Name,Length,Unit_of_Length,Frequency,Sex
Fall,2000,18,2,1,Crab Atlantic Rock,14,CM,1,
Fall,2000,18,2,1,Crab Atlantic Rock,9,CM,1,
Fall,2000,28,2,1,Crab Atlantic Rock,8,CM,3.3333333333333335,
Fall,2000,28,2,1,Crab Atlantic Rock,6,CM,1.1111111111111112,
Fall,2000,32,3,2,Crab Atlantic Rock,10,CM,1.1111111111111112,
Fall,2000,32,3,2,Crab Atlantic Rock,8,CM,3.3333333333333335,
Fall,2000,32,3,2,Crab Atlantic Rock,13,CM,1.1111111111111112,
Fall,2000,35,3,1,Crab Atlantic Rock,11,CM,1,
Fall,2000,35,3,1,Crab Atlantic Rock,9,CM,1,
Fall,2000,36,3,1,Crab Atlantic Rock,11,CM,1,
Fall,2000,37,3,2,Crab Atlantic Rock,9,CM,1,
Fall,2000,37,3,2,Crab Atlantic Rock,8,CM,1,
Fall,2000,38,3,2,Crab Atlantic Rock,10,CM,2,
Fall,2000,38,3,2,Crab Atlantic Rock,13,CM,1,
Fall,2000,38,3,2,Crab Atlantic Rock,12,CM,1,
Fall,2000,38,3,2,Crab Atlantic Rock,8,CM,2,
Fall,2000,38,3,2,Crab Atlantic Rock,9,CM,2,
Fall,2000,39,3,1,Crab Atlantic Rock,10,CM,2,
Fall,2000,43,3,2,Crab Atlantic Rock,12,CM,3,
Fall,2000,43,3,2,Crab Atlantic Rock,8,CM,17,
Fall,2000,43,3,2,Crab Atlantic Rock,10,CM,11,
Fall,2000,43,3,2,Crab Atlantic Rock,7,CM,2,
Fall,2000,43,3,2,Crab Atlantic Rock,9,CM,41,
Fall,2000,43,3,2,Crab Atlantic Rock,11,CM,3,
Fall,2000,45,4,1,Crab Atlantic Rock,5,CM,1.1111111111111112,
Fall,2000,45,4,1,Crab Atlantic Rock,7,CM,1.1111111111111112,
Fall,2000,45,4,1,Crab Atlantic Rock,8,CM,2.2222222222222223,
Fall,2000,45,4,1,Crab Atlantic Rock,6,CM,1.1111111111111112,
Fall,2000,45,4,1,Crab Atlantic Rock,9,CM,1.1111111111111112,
Fall,2000,47,4,3,Crab Atlantic Rock,7,CM,1,
Fall,2000,49,4,2,Crab Atlantic Rock,8,CM,3,
Fall,2000,49,4,2,Crab Atlantic Rock,11,CM,1,
Fall,2000,49,4,2,Crab Atlantic Rock,9,CM,3,
Fall,2000,49,4,2,Crab Atlantic Rock,10,CM,1,
Fall,2000,50,4,1,Crab Atlantic Rock,11,CM,0.7999999999999999,
Fall,2000,50,4,1,Crab Atlantic Rock,6,CM,0.7999999999999999,
Fall,2000,50,4,1,Crab Atlantic Rock,7,CM,2.4,
Fall,2000,50,4,1,Crab Atlantic Rock,8,CM,4.8,
Fall,2000,50,4,1,Crab Atlantic Rock,9,CM,0.7999999999999999,
Fall,2000,50,4,1,Crab Atlantic Rock,12,CM,0.7999999999999999,
Fall,2000,51,4,1,Crab Atlantic Rock,7,CM,1,
Fall,2000,53,4,3,Crab Atlantic Rock,10,CM,1,
Fall,2000,53,4,3,Crab Atlantic Rock,11,CM,1,
Fall,2000,53,4,3,Crab Atlantic Rock,12,CM,1,
Fall,2000,54,4,2,Crab Atlantic Rock,9,CM,1,
Fall,2000,54,4,2,Crab Atlantic Rock,8,CM,1,
Fall,2000,55,4,2,Crab Atlantic Rock,9,CM,3,
Fall,2000,55,4,2,Crab Atlantic Rock,10,CM,1,
Fall,2000,55,4,2,Crab Atlantic Rock,8,CM,3,
Fall,2000,56,4,2,Crab Atlantic Rock,10,CM,1,
Fall,2000,56,4,2,Crab Atlantic Rock,9,CM,1,
Fall,2000,61,4,2,Crab Atlantic Rock,8,CM,2.1052631578947367,
Fall,2000,62,5,2,Crab Atlantic Rock,2,CM,1.3333333333333333,
Fall,2000,64,5,1,Crab Atlantic Rock,13,CM,1,
Fall,2000,64,5,1,Crab Atlantic Rock,9,CM,1,
Fall,2000,65,5,1,Crab Atlantic Rock,7,CM,2,
Fall,2000,65,5,1,Crab Atlantic Rock,5,CM,1,
Fall,2000,65,5,1,Crab Atlantic Rock,1,CM,1,
Fall,2000,65,5,1,Crab Atlantic Rock,12,CM,1,
Fall,2000,68,5,1,Crab Atlantic Rock,12,CM,1,
Fall,2000,68,5,1,Crab Atlantic Rock,8,CM,3,
Fall,2000,69,5,1,Crab Atlantic Rock,10,CM,3,
Fall,2000,69,5,1,Crab Atlantic Rock,7,CM,3,
Fall,2000,69,5,1,Crab Atlantic Rock,8,CM,2,
Fall,2000,69,5,1,Crab Atlantic Rock,9,CM,2,
Fall,2000,72,5,2,Crab Atlantic Rock,11,CM,0.9090909090909091,
Fall,2000,72,5,2,Crab Atlantic Rock,10,CM,0.9090909090909091,
Fall,2000,72,5,2,Crab Atlantic Rock,9,CM,0.9090909090909091,
Fall,2000,73,5,1,Crab Atlantic Rock,8,CM,2.6086956521739126,
Fall,2000,73,5,1,Crab Atlantic Rock,9,CM,0.8695652173913042,
Fall,2000,73,5,1,Crab Atlantic Rock,10,CM,1.7391304347826084,
Fall,2000,73,5,1,Crab Atlantic Rock,11,CM,2.6086956521739126,
Fall,2000,73,5,1,Crab Atlantic Rock,7,CM,1.7391304347826084,
Fall,2000,74,5,2,Crab Atlantic Rock,7,CM,1,
Fall,2000,74,5,2,Crab Atlantic Rock,8,CM,1,
Fall,2000,74,5,2,Crab Atlantic Rock,11,CM,1,
Fall,2000,75,5,3,Crab Atlantic Rock,7,CM,1,
Fall,2000,76,5,3,Crab Atlantic Rock,7,CM,1.3333333333333333,
Fall,2000,77,5,3,Crab Atlantic Rock,10,CM,1,
Fall,2001,3,1,2,Crab Atlantic Rock,12,CM,1,
Fall,2001,3,1,2,Crab Atlantic Rock,11,CM,1,
Fall,2001,17,1,2,Crab Atlantic Rock,11,CM,1.3333333333333333,
Fall,2001,17,1,2,Crab Atlantic Rock,10,CM,6.666666666666666,
Fall,2001,17,1,2,Crab Atlantic Rock,12,CM,1.3333333333333333,
Fall,2001,17,1,2,Crab Atlantic Rock,9,CM,5.333333333333333,
Fall,2001,17,1,2,Crab Atlantic Rock,8,CM,2.6666666666666665,
Fall,2001,17,1,2,Crab Atlantic Rock,7,CM,5.333333333333333,
Fall,2001,17,1,2,Crab Atlantic Rock,4,CM,1.3333333333333333,
Fall,2001,25,2,2,Crab Atlantic Rock,7,CM,2.3529411764705883,
Fall,2001,25,2,2,Crab Atlantic Rock,9,CM,3.5294117647058822,
Fall,2001,25,2,2,Crab Atlantic Rock,10,CM,11.764705882352942,
Fall,2001,25,2,2,Crab Atlantic Rock,11,CM,5.882352941176471,
Fall,2001,25,2,2,Crab Atlantic Rock,13,CM,1.1764705882352942,
Fall,2001,25,2,2,Crab Atlantic Rock,12,CM,2.3529411764705883,
Fall,2001,25,2,2,Crab Atlantic Rock,6,CM,1.1764705882352942,
Fall,2001,26,2,2,Crab Atlantic Rock,11,CM,1.8181818181818181,
Fall,2001,26,2,2,Crab Atlantic Rock,10,CM,1.8181818181818181,
Fall,2001,26,2,2,Crab Atlantic Rock,8,CM,0.9090909090909091,
Fall,2001,26,2,2,Crab Atlantic Rock,7,CM,0.9090909090909091,
Fall,2001,26,2,2,Crab Atlantic Rock,13,CM,0.9090909090909091,
Fall,2001,27,2,1,Crab Atlantic Rock,6,CM,1,
Fall,2001,27,2,1,Crab Atlantic Rock,9,CM,10,
