Season,Year,Tow_Number,Region,Stratum,Common_Name,Length,Unit_of_Length,Frequency,Sex
Fall,2000,3,1,1,Scallop Sea,4,CM,2,
Fall,2000,3,1,1,Scallop Sea,3,CM,4,
Fall,2000,4,1,2,Scallop Sea,4,CM,1,
Fall,2000,4,1,2,Scallop Sea,3,CM,3,
Fall,2000,6,1,1,Scallop Sea,8,CM,15.42857142857143,
Fall,2000,6,1,1,Scallop Sea,3,CM,15.42857142857143,
Fall,2000,6,1,1,Scallop Sea,4,CM,100.2857142857143,
Fall,2000,6,1,1,Scallop Sea,5,CM,84.85714285714286,
Fall,2000,6,1,1,Scallop Sea,6,CM,54.00000000000001,
Fall,2000,6,1,1,Scallop Sea,7,CM,23.142857142857146,
Fall,2000,7,1,3,Scallop Sea,4,CM,1,
Fall,2000,7,1,3,Scallop Sea,6,CM,2,
Fall,2000,7,1,3,Scallop Sea,3,CM,1,
Fall,2000,14,1,3,Scallop Sea,4,CM,1.1111111111111112,
Fall,2000,15,2,3,Scallop Sea,4,CM,2,
Fall,2000,15,2,3,Scallop Sea,3,CM,3,
Fall,2000,15,2,3,Scallop Sea,5,CM,1,
Fall,2000,15,2,3,Scallop Sea,6,CM,1,
Fall,2000,15,2,3,Scallop Sea,7,CM,1,
Fall,2000,15,2,3,Scallop Sea,2,CM,2,
Fall,2000,19,2,3,Scallop Sea,5,CM,3,
Fall,2000,19,2,3,Scallop Sea,4,CM,3,
Fall,2000,19,2,3,Scallop Sea,3,CM,1,
Fall,2000,20,2,1,Scallop Sea,3,CM,12,
Fall,2000,20,2,1,Scallop Sea,5,CM,17,
Fall,2000,20,2,1,Scallop Sea,6,CM,3,
Fall,2000,20,2,1,Scallop Sea,4,CM,44,
Fall,2000,24,2,3,Scallop Sea,4,CM,31,
Fall,2000,24,2,3,Scallop Sea,5,CM,11,
Fall,2000,24,2,3,Scallop Sea,6,CM,1,
Fall,2000,24,2,3,Scallop Sea,7,CM,2,
Fall,2000,24,2,3,Scallop Sea,3,CM,9,
Fall,2000,25,2,3,Scallop Sea,3,CM,6.666666666666667,
Fall,2000,25,2,3,Scallop Sea,8,CM,2.2222222222222223,
Fall,2000,25,2,3,Scallop Sea,7,CM,8.88888888888889,
Fall,2000,25,2,3,Scallop Sea,6,CM,1.1111111111111112,
Fall,2000,25,2,3,Scallop Sea,4,CM,16.666666666666668,
Fall,2000,25,2,3,Scallop Sea,5,CM,2.2222222222222223,
Fall,2000,29,2,3,Scallop Sea,8,CM,15.714285714285712,
Fall,2000,29,2,3,Scallop Sea,2,CM,1.4285714285714284,
Fall,2000,29,2,3,Scallop Sea,9,CM,4.285714285714285,
Fall,2000,29,2,3,Scallop Sea,3,CM,7.142857142857142,
Fall,2000,29,2,3,Scallop Sea,4,CM,41.42857142857142,
Fall,2000,29,2,3,Scallop Sea,6,CM,5.7142857142857135,
Fall,2000,29,2,3,Scallop Sea,10,CM,1.4285714285714284,
Fall,2000,29,2,3,Scallop Sea,5,CM,55.71428571428571,
Fall,2000,29,2,3,Scallop Sea,7,CM,12.857142857142856,
Fall,2000,35,3,1,Scallop Sea,7,CM,1,
Fall,2000,35,3,1,Scallop Sea,10,CM,1,
Fall,2000,37,3,2,Scallop Sea,4,CM,1,
Fall,2000,37,3,2,Scallop Sea,7,CM,1,
Fall,2000,37,3,2,Scallop Sea,5,CM,2,
Fall,2000,40,3,3,Scallop Sea,5,CM,1.25,
Fall,2000,41,3,3,Scallop Sea,11,CM,3.5294117647058822,
Fall,2000,41,3,3,Scallop Sea,13,CM,1.1764705882352942,
Fall,2000,41,3,3,Scallop Sea,9,CM,2.3529411764705883,
Fall,2000,41,3,3,Scallop Sea,8,CM,4.705882352941177,
Fall,2000,41,3,3,Scallop Sea,6,CM,4.705882352941177,
Fall,2000,41,3,3,Scallop Sea,5,CM,8.23529411764706,
Fall,2000,41,3,3,Scallop Sea,10,CM,3.5294117647058822,
Fall,2000,42,3,3,Scallop Sea,8,CM,0.7999999999999999,
Fall,2000,44,3,3,Scallop Sea,13,CM,7.142857142857143,
Fall,2000,44,3,3,Scallop Sea,9,CM,53.57142857142858,
Fall,2000,44,3,3,Scallop Sea,10,CM,25,
Fall,2000,44,3,3,Scallop Sea,6,CM,60.71428571428571,
Fall,2000,44,3,3,Scallop Sea,11,CM,39.28571428571429,
Fall,2000,44,3,3,Scallop Sea,5,CM,25,
Fall,2000,44,3,3,Scallop Sea,12,CM,10.714285714285714,
Fall,2000,44,3,3,Scallop Sea,8,CM,46.42857142857143,
Fall,2000,44,3,3,Scallop Sea,4,CM,35.714285714285715,
Fall,2000,44,3,3,Scallop Sea,7,CM,67.85714285714286,
Fall,2000,44,3,3,Scallop Sea,3,CM,14.285714285714286,
Fall,2000,44,3,3,Scallop Sea,14,CM,3.5714285714285716,
Fall,2000,46,4,3,Scallop Sea,9,CM,1,
Fall,2000,46,4,3,Scallop Sea,7,CM,5,
Fall,2000,46,4,3,Scallop Sea,6,CM,5,
Fall,2000,46,4,3,Scallop Sea,4,CM,2,
Fall,2000,47,4,3,Scallop Sea,3,CM,15,
Fall,2000,47,4,3,Scallop Sea,10,CM,45,
Fall,2000,47,4,3,Scallop Sea,9,CM,39,
Fall,2000,47,4,3,Scallop Sea,6,CM,66,
Fall,2000,47,4,3,Scallop Sea,5,CM,39,
Fall,2000,47,4,3,Scallop Sea,7,CM,48,
Fall,2000,47,4,3,Scallop Sea,13,CM,6,
Fall,2000,47,4,3,Scallop Sea,11,CM,3,
Fall,2000,47,4,3,Scallop Sea,12,CM,9,
Fall,2000,47,4,3,Scallop Sea,4,CM,30,
Fall,2000,47,4,3,Scallop Sea,8,CM,75,
Fall,2000,48,4,3,Scallop Sea,9,CM,25.98337950138504,
Fall,2000,48,4,3,Scallop Sea,10,CM,3.7119113573407203,
Fall,2000,48,4,3,Scallop Sea,11,CM,3.7119113573407203,
Fall,2000,48,4,3,Scallop Sea,8,CM,22.27146814404432,
Fall,2000,48,4,3,Scallop Sea,7,CM,14.847645429362881,
Fall,2000,48,4,3,Scallop Sea,5,CM,29.695290858725762,
Fall,2000,48,4,3,Scallop Sea,4,CM,185.595567867036,
Fall,2000,48,4,3,Scallop Sea,3,CM,89.08587257617728,
Fall,2000,48,4,3,Scallop Sea,6,CM,7.423822714681441,
Fall,2000,49,4,2,Scallop Sea,6,CM,1,
Fall,2000,49,4,2,Scallop Sea,5,CM,1,
Fall,2000,49,4,2,Scallop Sea,4,CM,1,
Fall,2000,52,4,3,Scallop Sea,7,CM,19.28571428571429,
Fall,2000,52,4,3,Scallop Sea,5,CM,15.42857142857143,
Fall,2000,52,4,3,Scallop Sea,4,CM,98.35714285714288,
Fall,2000,52,4,3,Scallop Sea,8,CM,28.92857142857143,
Fall,2000,52,4,3,Scallop Sea,3,CM,40.50000000000001,
Fall,2000,52,4,3,Scallop Sea,10,CM,3.8571428571428577,
Fall,2000,52,4,3,Scallop Sea,6,CM,5.7857142857142865,
Fall,2000,52,4,3,Scallop Sea,9,CM,13.500000000000002,
Fall,2000,53,4,3,Scallop Sea,7,CM,3,
Fall,2000,53,4,3,Scallop Sea,9,CM,1,
Fall,2000,53,4,3,Scallop Sea,5,CM,4,
Fall,2000,53,4,3,Scallop Sea,4,CM,7,
Fall,2000,53,4,3,Scallop Sea,11,CM,1,
Fall,2000,53,4,3,Scallop Sea,10,CM,3,
Fall,2000,54,4,2,Scallop Sea,10,CM,1,
Fall,2000,54,4,2,Scallop Sea,5,CM,15,
Fall,2000,54,4,2,Scallop Sea,3,CM,2,
Fall,2000,54,4,2,Scallop Sea,7,CM,2,
Fall,2000,54,4,2,Scallop Sea,6,CM,15,
Fall,2000,54,4,2,Scallop Sea,4,CM,2,
Fall,2000,54,4,2,Scallop Sea,9,CM,1,
Fall,2000,55,4,2,Scallop Sea,3,CM,1,
Fall,2000,55,4,2,Scallop Sea,7,CM,2,
Fall,2000,55,4,2,Scallop Sea,11,CM,4,
Fall,2000,55,4,2,Scallop Sea,8,CM,1,
Fall,2000,55,4,2,Scallop Sea,4,CM,2,
Fall,2000,55,4,2,Scallop Sea,5,CM,2,
Fall,2000,59,4,3,Scallop Sea,6,CM,1,
Fall,2000,59,4,3,Scallop Sea,8,CM,1,
Fall,2000,59,4,3,Scallop Sea,3,CM,2,
Fall,2000,59,4,3,Scallop Sea,4,CM,1,
Fall,2000,59,4,3,Scallop Sea,5,CM,4,
Fall,2000,60,4,3,Scallop Sea,4,CM,31.818181818181817,
Fall,2000,60,4,3,Scallop Sea,3,CM,9.09090909090909,
Fall,2000,60,4,3,Scallop Sea,5,CM,13.636363636363637,
Fall,2000,60,4,3,Scallop Sea,6,CM,17.272727272727273,
Fall,2000,60,4,3,Scallop Sea,7,CM,18.18181818181818,
Fall,2000,60,4,3,Scallop Sea,8,CM,16.363636363636363,
Fall,2000,60,4,3,Scallop Sea,9,CM,8.181818181818182,
Fall,2000,60,4,3,Scallop Sea,10,CM,2.727272727272727,
Fall,2000,60,4,3,Scallop Sea,11,CM,0.9090909090909091,
Fall,2000,61,4,2,Scallop Sea,4,CM,3.1578947368421053,
Fall,2000,61,4,2,Scallop Sea,6,CM,1.0526315789473684,
Fall,2000,61,4,2,Scallop Sea,8,CM,1.0526315789473684,
Fall,2000,61,4,2,Scallop Sea,11,CM,1.0526315789473684,
Fall,2000,62,5,2,Scallop Icelandic Sea,3,CM,1.3333333333333333,
Fall,2000,63,5,2,Scallop Sea,9,CM,0.9090909090909091,
Fall,2000,63,5,2,Scallop Sea,8,CM,0.9090909090909091,
Fall,2000,63,5,2,Scallop Sea,6,CM,0.9090909090909091,
Fall,2000,63,5,2,Scallop Sea,4,CM,3.6363636363636362,
Fall,2000,63,5,2,Scallop Sea,3,CM,5.454545454545454,
Fall,2000,64,5,1,Scallop Sea,4,CM,2,
Fall,2000,65,5,1,Scallop Sea,3,CM,1,
Fall,2000,65,5,1,Scallop Sea,2,CM,1,
Fall,2000,66,5,3,Scallop Sea,5,CM,15,
Fall,2000,66,5,3,Scallop Sea,1,CM,1.5,
Fall,2000,66,5,3,Scallop Sea,4,CM,3,
Fall,2000,66,5,3,Scallop Sea,6,CM,51,
Fall,2000,66,5,3,Scallop Sea,7,CM,45,
Fall,2000,66,5,3,Scallop Sea,8,CM,43.5,
Fall,2000,66,5,3,Scallop Sea,9,CM,6,
Fall,2000,66,5,3,Scallop Sea,10,CM,1.5,
Fall,2000,66,5,3,Scallop Sea,3,CM,1.5,
Fall,2000,67,5,3,Scallop Sea,7,CM,3.8095238095238098,
Fall,2000,67,5,3,Scallop Sea,3,CM,0.9523809523809524,
Fall,2000,67,5,3,Scallop Sea,4,CM,0.9523809523809524,
Fall,2000,67,5,3,Scallop Sea,6,CM,6.666666666666667,
Fall,2000,67,5,3,Scallop Sea,8,CM,12.380952380952381,
Fall,2000,67,5,3,Scallop Sea,9,CM,13.333333333333334,
Fall,2000,67,5,3,Scallop Sea,10,CM,37.142857142857146,
Fall,2000,67,5,3,Scallop Sea,11,CM,31.42857142857143,
Fall,2000,67,5,3,Scallop Sea,12,CM,10.476190476190476,
Fall,2000,67,5,3,Scallop Sea,5,CM,2.857142857142857,
Fall,2000,69,5,1,Scallop Sea,5,CM,1,
Fall,2000,69,5,1,Scallop Sea,2,CM,1,
Fall,2000,69,5,1,Scallop Sea,3,CM,8,
Fall,2000,69,5,1,Scallop Sea,6,CM,1,
Fall,2000,71,5,3,Scallop Sea,8,CM,0.9523809523809524,
Fall,2000,71,5,3,Scallop Sea,12,CM,0.9523809523809524,
Fall,2000,71,5,3,Scallop Sea,4,CM,5.714285714285714,
Fall,2000,71,5,3,Scallop Sea,10,CM,0.9523809523809524,
Fall,2000,71,5,3,Scallop Sea,2,CM,0.9523809523809524,
Fall,2000,71,5,3,Scallop Sea,7,CM,1.9047619047619049,
Fall,2000,71,5,3,Scallop Sea,9,CM,1.9047619047619049,
Fall,2000,71,5,3,Scallop Sea,3,CM,9.523809523809524,
Fall,2000,72,5,2,Scallop Sea,3,CM,99.61038961038962,
Fall,2000,72,5,2,Scallop Sea,2,CM,8.441558441558442,
Fall,2000,72,5,2,Scallop Sea,4,CM,35.45454545454546,
Fall,2000,72,5,2,Scallop Sea,7,CM,16.883116883116884,
Fall,2000,72,5,2,Scallop Sea,5,CM,5.0649350649350655,
Fall,2000,72,5,2,Scallop Sea,8,CM,10.129870129870131,
