Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Common_Name,Number_Caught,Weight_kg,Subsample_Weight_kg,Subsample_Weight_kg_2,Male_Wt_kg,Female_Wt_kg,Expanded_Catch,Expanded_Weight_kg
FL23,Fall,2023,2,1,3,662,2023-09-25T00:00:00Z,Crab Jonah,1,0.07,,,,,1.0526315789473684,0.0736842105263158
FL23,Fall,2023,3,1,4,506,2023-09-26T00:00:00Z,Crab Jonah,3,0.27,,,,,3,0.27
FL23,Fall,2023,5,1,1,240,2023-09-27T00:00:00Z,Crab Jonah,4,0.33,,,,,4.705882352941177,0.38823529411764707
FL23,Fall,2023,6,1,1,174,2023-09-27T00:00:00Z,Crab Jonah,1,0.02,,,,,1.3333333333333333,0.026666666666666665
FL23,Fall,2023,9,1,3,77,2023-09-27T00:00:00Z,Crab Jonah,2,0.36,,,,,2,0.36
FL23,Fall,2023,10,1,4,97,2023-09-28T00:00:00Z,Crab Jonah,3,0.26,,,,,3,0.26
FL23,Fall,2023,11,1,4,172,2023-09-28T00:00:00Z,Crab Jonah,3,0.42,,,,,3,0.42
FL23,Fall,2023,13,1,4,193,2023-09-28T00:00:00Z,Crab Jonah,2,0.08,,,,,2,0.08
FL23,Fall,2023,14,1,2,30,2023-09-29T00:00:00Z,Crab Jonah,1,0.02,,,,,1.0526315789473684,0.021052631578947368
FL23,Fall,2023,15,1,2,18,2023-09-29T00:00:00Z,Crab Jonah,2,0.34,,,,,2,0.34
FL23,Fall,2023,16,1,1,8,2023-09-29T00:00:00Z,Crab Jonah,1,0.02,,,,,1.1764705882352942,0.023529411764705882
FL23,Fall,2023,18,2,4,736,2023-10-02T00:00:00Z,Crab Jonah,1,0.03,,,,,1,0.03
FL23,Fall,2023,19,2,4,733,2023-10-02T00:00:00Z,Crab Jonah,1,0.004,,,,,1,0.004
FL23,Fall,2023,22,2,1,153,2023-10-03T00:00:00Z,Crab Jonah,3,0.02,,,,,3,0.02
FL23,Fall,2023,24,2,1,305,2023-10-03T00:00:00Z,Crab Jonah,1,0.02,,,,,1,0.02
FL23,Fall,2023,26,2,3,508,2023-10-04T00:00:00Z,Crab Jonah,2,0.61,,,,,2.1052631578947367,0.6421052631578947
FL23,Fall,2023,27,2,3,506,2023-10-04T00:00:00Z,Crab Jonah,1,,,,,,1.1111111111111112,
FL23,Fall,2023,28,2,1,162,2023-10-04T00:00:00Z,Crab Jonah,1,0.004,,,,,1,0.004
FL23,Fall,2023,29,2,2,194,2023-10-04T00:00:00Z,Crab Jonah,1,0.25,,,,,1,0.25
FL23,Fall,2023,34,2,2,164,2023-10-05T00:00:00Z,Crab Jonah,3,0.47000000000000003,,,,,4,0.6266666666666667
FL23,Fall,2023,35,3,3,490,2023-10-09T00:00:00Z,Crab Jonah,3,0.51,,,,,3,0.51
FL23,Fall,2023,36,3,2,433,2023-10-09T00:00:00Z,Crab Jonah,1,0.24,,,,,1,0.24
FL23,Fall,2023,37,3,1,151,2023-10-09T00:00:00Z,Crab Jonah,1,0.02,,,,,1.1764705882352942,0.023529411764705882
FL23,Fall,2023,39,3,2,5,2023-10-10T00:00:00Z,Crab Jonah,1,0.13,,,,,1,0.13
FL23,Fall,2023,40,3,1,26,2023-10-10T00:00:00Z,Crab Jonah,1,0.23,,,,,1,0.23
FL23,Fall,2023,43,3,3,360,2023-10-11T00:00:00Z,Crab Jonah,1,0.11,,,,,1,0.11
FL23,Fall,2023,46,3,4,664,2023-10-12T00:00:00Z,Crab Jonah,1,0.42,,,,,1.6666666666666665,0.7
FL23,Fall,2023,47,3,4,746,2023-10-12T00:00:00Z,Crab Jonah,1,0.13,,,,,1,0.13
FL23,Fall,2023,48,3,2,248,2023-10-13T00:00:00Z,Crab Jonah,1,0.15,,,,,1,0.15
FL23,Fall,2023,49,3,1,180,2023-10-13T00:00:00Z,Crab Jonah,5,0.46,,,,,5.882352941176471,0.5411764705882354
FL23,Fall,2023,50,3,1,136,2023-10-13T00:00:00Z,Crab Jonah,7,0.62,,,,,7,0.62
FL23,Fall,2023,51,4,4,656,2023-10-16T00:00:00Z,Crab Jonah,1,0.01,,,,,1.0526315789473684,0.010526315789473684
