Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Common_Name,Number_Caught,Weight_kg,Subsample_Weight_kg,Subsample_Weight_kg_2,Male_Wt_kg,Female_Wt_kg,Expanded_Catch,Expanded_Weight_kg
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Stars Sea Brittle Baskets,4,0.02,0,,,,4,0.02
FL00,Fall,2000,23,2,2,194,2000-11-08T00:00:00Z,Stars Sea Brittle Baskets,1,0.3,0,,,,1,0.3
FL00,Fall,2000,24,2,3,533,2000-11-08T00:00:00Z,Stars Sea Brittle Baskets,0,1.7,0,,,,0,1.7
FL00,Fall,2000,25,2,3,446,2000-11-08T00:00:00Z,Stars Sea Brittle Baskets,,0.9,0,,,,,1
FL00,Fall,2000,27,2,2,55,2000-11-09T00:00:00Z,Stars Sea Brittle Baskets,,20,0,,,,,22.22222222222222
FL00,Fall,2000,29,2,3,284,2000-11-10T00:00:00Z,Stars Sea Brittle Baskets,,0.25,0,,,,,0.3571428571428571
FL00,Fall,2000,35,3,1,993,2000-11-14T00:00:00Z,Stars Sea Brittle Baskets,5,0.5,0,,,,5,0.5
FL00,Fall,2000,35,3,1,993,2000-11-14T00:00:00Z,Waved Astarte,1,0.01,0,,,,1,0.01
FL00,Fall,2000,36,3,1,995,2000-11-14T00:00:00Z,Stars Sea Brittle Baskets,0,0.5,0,,,,0,0.5
FL00,Fall,2000,37,3,2,93,2000-11-14T00:00:00Z,Stars Sea Brittle Baskets,0,0.3,0,,,,0,0.3
FL00,Fall,2000,38,3,2,126,2000-11-14T00:00:00Z,Stars Sea Brittle Baskets,0,0.4,0,,,,0,0.4
FL00,Fall,2000,40,3,3,328,2000-11-16T00:00:00Z,Stars Sea Brittle Baskets,,0.45,0,,,,,0.5625
FL00,Fall,2000,42,3,3,384,2000-11-16T00:00:00Z,Stars Sea Brittle Baskets,0,0.9,0,,,,0,0.72
FL00,Fall,2000,43,3,2,121,2000-11-20T00:00:00Z,Stars Sea Brittle Baskets,0,0.7000000000000001,0,,,,0,0.7000000000000001
FL00,Fall,2000,44,3,3,364,2000-11-20T00:00:00Z,Stars Sea Brittle Baskets,,1.45,0,,,,,1.8125
FL00,Fall,2000,45,4,1,250,2000-11-21T00:00:00Z,Stars Sea Brittle Baskets,12,1.6,0,,,,13.333333333333334,1.777777777777778
FL00,Fall,2000,46,4,3,492,2000-11-21T00:00:00Z,Stars Sea Brittle Baskets,11,0.5,0,,,,11,0.5
FL00,Fall,2000,48,4,3,456,2000-11-21T00:00:00Z,Stars Sea Brittle Baskets,0,0.3,0,,,,0,0.3157894736842105
FL00,Fall,2000,49,4,2,286,2000-11-22T00:00:00Z,Stars Sea Brittle Baskets,0,0.7000000000000001,0,,,,0,0.7000000000000001
FL00,Fall,2000,51,4,1,31,2000-11-22T00:00:00Z,Stars Sea Brittle Baskets,6,0.2,0,,,,6,0.2
FL00,Fall,2000,57,4,1,15,2000-11-28T00:00:00Z,Stars Sea Brittle Baskets,15,0.4,0,,,,15,0.4
FL00,Fall,2000,58,4,1,911,2000-11-28T00:00:00Z,Stars Sea Brittle Baskets,0,0.8,0,,,,0,0.8
FL00,Fall,2000,59,4,3,273,2000-11-29T00:00:00Z,Stars Sea Brittle Baskets,0,0.7000000000000001,0,,,,0,0.7000000000000001
FL00,Fall,2000,62,5,2,615,2000-11-30T00:00:00Z,Waved Astarte,13,0.3,0,,,,17.333333333333332,0.39999999999999997
FL00,Fall,2000,63,5,2,511,2000-11-30T00:00:00Z,Stars Sea Brittle Baskets,4,0.25,0,,,,3.6363636363636362,0.22727272727272727
FL00,Fall,2000,64,5,1,428,2000-11-30T00:00:00Z,Stars Sea Brittle Baskets,0,0.15,0,,,,0,0.15
FL00,Fall,2000,71,5,3,406,2000-12-02T00:00:00Z,Stars Sea Brittle Baskets,3,1.7,0,,,,2.857142857142857,1.619047619047619
FL00,Fall,2000,72,5,2,275,2000-12-02T00:00:00Z,Stars Sea Brittle Baskets,3,1.4000000000000001,0,,,,2.727272727272727,1.2727272727272727
FL00,Fall,2000,75,5,3,314,2000-12-03T00:00:00Z,Stars Sea Brittle Baskets,0,0.1,0,,,,0,0.1
FL00,Fall,2000,77,5,3,38,2000-12-04T00:00:00Z,Stars Sea Brittle Baskets,0,0.85,0,,,,0,0.85
FL00,Fall,2000,78,5,3,41,2000-12-04T00:00:00Z,Stars Sea Brittle Baskets,0,1.8,0,,,,0,1.8
FL01,Fall,2001,5,1,3,687,2001-09-25T00:00:00Z,Northern Sea Star,0,0.08,0,,,,0,0.08
FL01,Fall,2001,5,1,3,687,2001-09-25T00:00:00Z,Stars Sea Brittle Baskets,0,0.1,0,,,,0,0.1
FL01,Fall,2001,10,1,3,454,2001-09-26T00:00:00Z,Stars Sea Brittle Baskets,2,0.15,0,,,,1.9047619047619049,0.14285714285714285
FL01,Fall,2001,11,1,3,468,2001-09-26T00:00:00Z,Stars Sea Brittle Baskets,,1,0,,,,,1.1111111111111112
FL01,Fall,2001,12,1,3,123,2001-09-27T00:00:00Z,Stars Sea Brittle Baskets,1,0.04,0,,,,1,0.04
FL01,Fall,2001,34,2,3,240,2001-10-05T00:00:00Z,Stars Sea Brittle Baskets,0,0.9500000000000001,0,,,,0,0.9047619047619049
FL01,Fall,2001,38,3,3,497,2001-10-08T00:00:00Z,Stars Sea Brittle Baskets,,5.25,0,,,,,4.7727272727272725
FL01,Fall,2001,45,3,3,564,2001-10-10T00:00:00Z,Waved Astarte,3,0.08,0,,,,3.1578947368421053,0.08421052631578947
FL01,Fall,2001,47,3,1,96,2001-10-11T00:00:00Z,Stars Sea Brittle Baskets,2,0.1,0,,,,2.1052631578947367,0.10526315789473684
FL01,Fall,2001,51,3,3,338,2001-10-12T00:00:00Z,Stars Sea Brittle Baskets,0,3.3000000000000003,0,,,,0,3.3000000000000003
FL01,Fall,2001,55,4,1,100,2001-10-16T00:00:00Z,Stars Sea Brittle Baskets,1,0.02,0,,,,1,0.02
FL01,Fall,2001,56,4,1,58,2001-10-16T00:00:00Z,Stars Sea Brittle Baskets,0,0.32,0,,,,0,0.32
FL01,Fall,2001,57,4,1,31,2001-10-16T00:00:00Z,Stars Sea Brittle Baskets,,0.06,0,,,,,0.075
FL01,Fall,2001,59,4,1,2,2001-10-18T00:00:00Z,Stars Sea Brittle Baskets,0,1.25,0,,,,0,1.1904761904761905
FL01,Fall,2001,60,4,2,7,2001-10-18T00:00:00Z,Stars Sea Brittle Baskets,0,0.4,0,,,,0,0.380952380952381
FL01,Fall,2001,62,4,2,55,2001-10-19T00:00:00Z,Stars Sea Brittle Baskets,0,0.6,0,,,,0,0.6
FL01,Fall,2001,63,4,3,482,2001-10-19T00:00:00Z,Stars Sea Brittle Baskets,,0.02,0,,,,,0.02
FL01,Fall,2001,73,5,3,540,2001-10-23T00:00:00Z,Stars Sea Brittle Baskets,2,0.1,0,,,,2,0.1
FL02,Fall,2002,6,1,3,424,2002-10-15T00:00:00Z,Stars Sea Brittle Baskets,2,0.04,0,,,,2,0.04
FL02,Fall,2002,10,1,2,290,2002-10-17T00:00:00Z,Stars Sea Brittle Baskets,1,0.2,0,,,,1,0.2
FL02,Fall,2002,12,1,1,1,2002-10-18T00:00:00Z,Stars Sea Brittle Baskets,5,0.05,0,,,,5,0.05
FL02,Fall,2002,20,2,3,511,2002-10-22T00:00:00Z,Stars Sea Brittle Baskets,3,0.02,0,,,,3,0.02
FL02,Fall,2002,29,2,3,199,2002-10-24T00:00:00Z,Stars Sea Brittle Baskets,0,0.14,0,,,,0,0.14
FL02,Fall,2002,30,2,3,139,2002-10-25T00:00:00Z,Stars Sea Brittle Baskets,0,0.5,0,,,,0,0.5
FL02,Fall,2002,32,2,2,59,2002-10-25T00:00:00Z,Stars Sea Brittle Baskets,0,0.08,0,,,,0,0.08888888888888889
FL02,Fall,2002,33,3,3,592,2002-10-28T00:00:00Z,Stars Sea Brittle Baskets,0,0.06,0,,,,0,0.06
