year,AstropectenNum,AstropectenBms,AsteriasnNum,AsteriasBms,LeptasteriasNum,LeptastiasBms,CancerNum,CancerBms,ScalNum,ScalBms
2000,1446.228665,6.491037432,1084.308154,6.03642538,0,0,39.48905512,2.318500821,292.1378135,3028.126429
2001,3403.944821,11.1018553,544.0292085,5.19666923,0,0,29.12755405,0.945980052,308.3878527,3418.699231
2002,2815.984728,9.27446211,883.9309772,2.517973966,0,0,39.31265851,1.710657103,284.0490519,3578.375762
2003,7381.907387,27.2110709,1152.448549,5.914868801,0,0,129.0520185,3.304210301,654.4813923,5766.16051
2004,3602.54507,9.036659328,994.1405344,9.661810855,0,0,77.85342696,1.492203938,470.9708656,5061.054837
2005,5029.693739,13.58167017,1521.282792,16.71256029,0,0,59.85488458,1.554808571,344.6153637,5405.764978
2006,5116.970695,17.05713533,1147.337709,8.085060744,11.01664263,0.054024802,37.72133096,1.126250942,386.7071864,6138.457554
2007,5307.597168,18.84691201,506.3267988,3.526431722,2.212095224,0.003204202,76.63631707,1.175853912,314.6446569,5486.758217
2008,5955.11146,18.02284456,374.2538627,4.957782287,33.53125881,0.040094824,61.8290352,1.549662009,373.7471854,5548.736372
2009,5815.493192,21.51389125,639.9230506,5.697746053,9.300923921,0.016918828,108.0651856,0.767986656,366.313486,6136.961513
2010,7311.18572,21.477777,374.7667962,6.037204825,240.1854129,0.574768201,93.07750899,0.870647936,250.3101058,4625.339825
2011,4128.180202,15.59151911,188.7061584,4.537678345,176.3905424,0.232082564,70.62843201,0.788884266,166.5642514,3481.953249
2012,5239.397459,20.93145899,140.6267223,3.162392784,7.61992194,0.015803447,68.96374863,2.013892026,252.4263651,2727.693642
2013,2454.163795,9.981280205,62.07932488,0.694523678,0,0,57.5804918,1.171659852,256.1218724,3200.994877
2014,NA,NA,NA,NA,NA,NA,NA,NA,256.31332,3670.695109
2015,NA,NA,NA,NA,NA,NA,NA,NA,624.0756306,3922.667769
2016,NA,NA,NA,NA,NA,NA,NA,NA,117.4205314,1373.951776
2017,NA,NA,NA,NA,NA,NA,NA,NA,261.4095951,3725.123569
2018,3924.151854,20501.4822,15.26942339,273.3634875,0.271718026,2.717180262,57.250298,1598.074263,178.8211156,3385.784255
2019,4389.985575,23187.05209,47.18939074,1087.281471,3.469135798,50.49085649,43.63992766,1385.42885,124.095262,2608.306326
2020,5004.412782,23780.42402,13.57179805,594.4994073,0,0,104.6863107,7098.737078,93.3206904,1901.34988
2021,5496.255244,24802.37269,6.688777625,295.6064855,3.424888762,13.52811705,22.181548,606.0109456,40.701288,851.5225119
2022,9020.733724,35028.00697,13.27179931,266.8210079,2.109682264,9.964540553,34.39938622,319.8241131,117.8767953,1565.478669
