subarea,year,AstropectenNum,AstropectenBms,AsteriasnNum,AsteriasBms,LeptasteriasNum,LeptastiasBms,CancerNum,CancerBms,ScalNum,ScalBms
DMV,2000,1842.809076,8.009851456,1835.375514,12.15088056,0,0,52.23125216,1.447499005,416.1162806,2789.556913
DMV,2001,3337.885007,17.58280723,127.4414203,2.924411048,0,0,206.7582813,1.900996419,517.6613368,4492.526172
DMV,2002,6289.034024,24.80883957,344.2496824,1.94718559,0,0,123.5018799,3.623245802,639.0722165,5488.187414
DMV,2003,8625.523688,36.87306304,363.801208,3.200745055,0,0,550.7241914,7.821198479,773.9163682,10360.01165
DMV,2004,3416.805687,12.84918813,226.4308709,5.764887107,0,0,331.0693543,6.878068793,295.1871547,4182.260496
DMV,2005,9128.937217,31.84860439,237.4753127,2.874832454,0,0,241.0536277,5.445737106,839.3868978,5395.387485
DMV,2006,5550.564906,21.51921821,119.4111655,0.521569064,0,0,65.75887009,2.246272393,644.7300352,5582.867192
DMV,2007,7521.465786,32.95437867,509.5945367,4.229087826,0,0,300.2111372,5.508611712,590.6150415,8533.409811
DMV,2008,8581.598353,34.5847063,129.225941,2.61327409,0,0,292.7950686,5.363194829,802.928276,11032.82497
DMV,2009,5321.413019,25.43792151,397.1250439,4.757090326,0,0,163.8719942,0.803661716,1012.661867,16446.20092
DMV,2010,3023.175128,14.39506157,292.5357466,7.557677142,96.79341717,0.272242189,461.7529498,4.345963583,410.8022116,8403.062311
DMV,2011,2702.81128,14.93624812,345.1884384,14.2203762,59.19791679,0.158885149,337.8482421,3.442809496,112.3397292,1827.351278
DMV,2012,747.8307027,4.458925185,33.03841747,0.04499726,0,0,304.1963604,9.346286593,307.105787,1655.0249
DMV,2013,116.962869,0.644310811,97.81342019,1.138237547,0,0,286.4862903,3.597366659,377.4438365,4900.332848
DMV,2014,,,,,,,,,298.7220102,2836.882176
DMV,2015,,,,,,,,,587.2007489,4837.538394
DMV,2016,,,,,,,,,143.9751805,1933.49
DMV,2017,,,,,,,,,88.75286571,855.5095031
DMV,2018,8124.952385,46860.60316,6.814058673,104.482233,0,0,113.3745114,1953.737212,86.17636712,1517.164818
DMV,2019,8549.262448,49254.69423,55.02460829,3663.054656,18.38628939,239.0217621,160.8597074,2278.094945,1.51937012,9.211172608
DMV,2020,11796.50119,78680.5769,6.133004303,0.306650215,0,0,124.6997342,5263.198603,0.504694524,3.675226788
DMV,2021,13303.70109,25512.85691,17.83832693,857.7578129,6.518359848,11.08121174,13.28480486,23.96226579,3.135824719,14.51044277
DMV,2022,50734.24264,112104.5805,8.600021562,57.5494099,0,0,80.95238391,180.3268692,39.6734221,241.2207808
,,,,,,,,,,,
ET,2000,1361.862888,7.533039475,221.074608,1.557808471,0,0,42.6890285,1.507781789,567.7702864,5873.693716
ET,2001,3297.304352,10.30967968,493.4208338,12.17198085,0,0,14.53753983,0.384597552,465.1636311,3720.281369
ET,2002,5958.221023,13.94256857,422.6971748,2.437170315,0,0,42.54192769,1.184318477,1264.402366,6372.21938
ET,2003,4339.009662,13.62594778,435.8773197,5.189569933,0,0,76.9278852,1.66855751,5034.666809,13964.02289
ET,2004,4706.310842,16.89936908,313.4959336,2.695214426,0,0,259.7399462,3.98900929,2877.682579,21943.99488
ET,2005,12450.93904,39.59687682,438.4655635,2.175979642,0,0,70.83344954,2.539123752,1737.577542,31527.04532
ET,2006,7971.376964,28.63820808,190.2694039,1.039568544,1.572420409,0.008746233,56.50880465,1.81756244,1833.219586,36922.22957
ET,2007,7746.022378,36.76910691,173.9701568,2.088505863,0,0,107.9918653,1.650262913,1390.113873,32186.45619
ET,2008,15391.20161,55.4590821,243.0637928,2.038890071,0,0,80.7580295,2.556758391,1261.70928,27860.11902
ET,2009,7110.481912,27.96028227,434.7228809,4.76318872,0,0,211.1512775,1.632195896,587.2772005,12900.53808
ET,2010,12898.8917,45.62500559,191.5558943,2.762544709,214.7537926,0.354600438,238.2771636,1.275259313,177.0798518,2185.056988
ET,2011,5630.631757,23.64118749,254.3409186,7.101470127,65.89494046,0.095775765,97.35207182,1.024473456,107.858948,1277.343813
ET,2012,7261.370958,37.05258914,53.15432334,0.617541488,3.792491381,0.014637435,174.010714,3.54370429,1070.234108,3292.901096
ET,2013,3483.460928,12.52645199,20.90378682,0.023158577,0,0,126.6471251,1.543496856,1026.116249,9276.546855
ET,2014,,,,,,,,,1096.495555,9493.640448
ET,2015,,,,,,,,,2553.217495,13994.87876
ET,2016,,,,,,,,,681.3156177,17809.60241
ET,2017,,,,,,,,,632.0904469,10441.68287
ET,2018,3102.448582,15835.11694,26.57570372,442.9283953,0,0,340.0026179,7797.56657,887.9924343,20077.77896
ET,2019,12645.14368,67442.46437,28.70803501,618.2014358,0,0,89.38638174,2586.006745,876.3601129,21863.18848
ET,2020,2911.960794,20598.38092,6.483674431,82.12654279,0,0,240.9999545,16598.3713,265.9328883,7663.898811
ET,2021,3946.572421,21244.35752,18.06515712,726.757328,8.058575686,44.32216627,5.750633338,14.69791655,51.72960768,1403.300319
ET,2022,8591.15812,38519.46323,17.1017824,764.8275876,20.76573525,108.4704986,40.22278702,277.2446942,469.0695765,3076.339036
,,,,,,,,,,,
HCS,2000,2763.724015,9.759689234,147.0560457,0.456251508,0,0,13.94379131,0.803739181,744.8049761,7256.793898
HCS,2001,5095.293104,18.82948425,34.50288623,0.526139069,0,0,6.976801795,0.658295618,918.8108097,11661.9739
HCS,2002,5722.695112,15.21500439,185.2268863,0.981525405,0,0,17.98217307,0.892940101,725.8328153,10386.73718
HCS,2003,12861.82273,38.2923648,163.5927418,2.788219083,0,0,10.47074473,0.610153632,760.0166827,10069.20272
HCS,2004,4057.817611,12.17719457,437.9826707,5.218063698,0,0,20.04734543,0.492697941,354.426509,4499.850116
HCS,2005,4329.621348,15.31110162,476.0986693,3.915314141,0,0,18.71224946,0.850225378,247.5624212,1863.528055
HCS,2006,11209.24173,32.10218222,314.0608344,2.20746284,7.018899926,0.11959655,56.21335278,0.864820637,582.5845415,3806.77766
HCS,2007,5022.163212,22.27018872,52.16779081,0.11928445,1.555653077,0.001555653,25.95366059,0.541672552,360.6363854,3311.053919
HCS,2008,8023.332106,24.10766189,278.8358205,2.16848558,0,0,24.04934089,0.821061896,431.4708155,4778.411999
HCS,2009,5123.483597,22.98005074,387.2677177,3.071449993,0,0,91.45319853,0.677706544,433.3012665,7284.622195
HCS,2010,9827.408165,36.06744861,115.9769855,2.154821212,86.58289405,0.132623836,25.93610578,0.742286139,510.2473179,10411.36291
HCS,2011,5981.03721,26.03563921,169.2779525,3.688392011,61.84699225,0.154413131,20.30428152,0.260536769,331.2162216,7315.294145
HCS,2012,3174.024504,17.49137273,63.06377539,5.747779592,3.827224847,0.006167145,51.48259091,1.66225239,455.38094,3273.494913
HCS,2013,1218.392196,6.572167504,64.72641522,0.432353576,0,0,32.7218525,1.203796371,324.5131726,3189.093478
,2014,,,,,,,,,175.462209,2603.983459
,2015,,,,,,,,,1172.684467,5198.812089
,2016,,,,,,,,,295.5857071,6284.27832
,2017,,,,,,,,,558.0220061,9781.695093
HCS,2018,3644.435778,18896.96102,14.52533479,433.3541069,0,0,14.3930941,188.1177398,283.2255602,5185.325552
HCS,2019,3105.605618,16157.91661,78.42088518,1671.635412,0,0,57.10490087,2087.557821,134.986818,3087.390808
HCS,2020,8743.099048,32894.97732,17.16040957,304.3449109,0,0,141.1677813,3459.61328,160.6919347,3733.477321
HCS,2021,4312.488083,19687.95578,5.089710619,252.7889608,5.792130045,29.45772561,12.69996402,74.38524181,45.27943037,1075.344407
HCS,2022,4975.497974,31104.88783,5.012737739,230.585936,0,0,40.21529445,798.5619663,48.02568794,844.9791259
,,,,,,,,,,,
LI,2000,825.6107071,5.183270603,1495.575851,8.844386723,0,0,41.80892512,2.241175174,80.17600699,963.8589697
LI,2001,452.325716,1.788268284,489.6147342,2.663131486,0,0,8.777062504,0.418815231,126.2235566,1296.449552
