Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"index","Exp","Year","Field","Plot","NTrt","NAdd","NitrAdd","NAtm.NAdd","fg","isspecies","richness","Agropyron repens","Schizachyrium scoparium","Miscellaneous litter","Ncat","FieldPlot"
"6 A 1982",1,1982,"A",6,8,27.2,80,28.2,"F",1,8,47,0,199.23,3,"A 6"
"6 A 1983",1,1983,"A",6,8,27.2,80,28.2,"C4",1,10,405.87,0,151.5,3,"A 6"
"6 A 1984",1,1984,"A",6,8,27.2,80,28.2,"C3",1,7,256.07,0,476.5,3,"A 6"
"6 A 1985",1,1985,"A",6,8,27.2,80,28.2,"S",1,6,339.9,0,501.97,3,"A 6"
"6 A 1986",1,1986,"A",6,8,27.2,80,28.2,"C3",1,1,200.4,0,1960.3,3,"A 6"
"6 A 1987",1,1987,"A",6,8,27.2,80,28.2,"C3",1,2,246.7,0,1209.7,3,"A 6"
"6 A 1988",1,1988,"A",6,8,27.2,80,28.2,"C3",1,1,44.9,0,994.5,3,"A 6"
"6 A 1989",1,1989,"A",6,8,27.2,80,28.2,"C3",1,2,407.47,0,514.4,3,"A 6"
"6 A 1990",1,1990,"A",6,8,27.2,80,28.2,"C3",1,2,127.73,0,769.23,3,"A 6"
"6 A 1991",1,1991,"A",6,8,27.2,80,28.2,"C3",1,1,389.57,0,743.27,3,"A 6"
"6 A 1992",1,1992,"A",6,8,27.2,80,28.2,"C4",1,6,203.37,0,574.77,3,"A 6"
"6 A 1993",1,1993,"A",6,8,27.2,80,28.2,"O",1,7,216,0,1655.9,3,"A 6"
