Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Wedin, David
Tilman, David 
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"monoculture","litbiomass","year","plot","subplot","abvbiomass","totaln","exp","yearest","nlevel","plotsubplot","Field","FieldPlot"
"Agrostis scabra",0,1986,10,1,80.67599,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",0,1987,10,1,80.09324,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",44.225,1988,10,1,80.275,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",8.25,1989,10,1,83.25,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",41,1990,10,1,175.25,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",75.25,1991,10,1,77,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",56.75,1992,10,1,72,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
"Agrostis scabra",50.75,1993,10,1,163,0.041021,"e026",1985,2,"10 1",1,"1 10 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0,1986,10,10,86.48019,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
"Agrostis scabra",0,1987,10,10,219.81352,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
"Agrostis scabra",31.875,1988,10,10,144.35001,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
"Agrostis scabra",5.5,1989,10,10,103.75,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
"Agrostis scabra",23,1990,10,10,112.5,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
"Agrostis scabra",149.5,1991,10,10,46.75,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
"Agrostis scabra",3.25,1992,10,10,7.25,0.044795,"e026",1985,2,"10 10",1,"1 10 10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.53613,1986,10,3,44.96503,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",0,1987,10,3,137.15617,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",50.85,1988,10,3,65.9,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",86,1989,10,3,157.5,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",65,1990,10,3,57.25,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",180.25,1991,10,3,111.25,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",31.25,1992,10,3,28.5,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
"Agrostis scabra",54,1993,10,3,59.75,0.043456,"e026",1985,2,"10 3",1,"1 10 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",6.75991,1986,10,38,85.31469,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
"Agrostis scabra",93.98601,1987,10,38,122.35431,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
"Agrostis scabra",145.25,1988,10,38,109,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
