Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"index","Exp","Year","OldField","Plot","Transect","YearAb","Agropyron repens","Schizachyrium scoparium","Miscellaneous litter","precipmm","FieldPlot"
"2001 10 1 G",54,2001,"10",1,"G",1998,0,0,442.267,248.92,"10 1"
"2002 10 1 G",54,2002,"10",1,"G",1998,46.7,0,274.067,439.42,"10 1"
"2003 10 1 G",54,2003,"10",1,"G",1998,15.7,0,184.167,229.616,"10 1"
"2004 10 1 G",54,2004,"10",1,"G",1998,11.3,0,72.6667,239.014,"10 1"
"2005 10 1 G",54,2005,"10",1,"G",1998,78.367,0,78.867,285.242,"10 1"
"2006 10 1 G",54,2006,"10",1,"G",1998,53.58,0,91.33,251.46,"10 1"
"2007 10 1 G",54,2007,"10",1,"G",1998,49.87,0,69.03,236.22,"10 1"
"2008 10 1 G",54,2008,"10",1,"G",1998,10.5,0,25.13,188.722,"10 1"
"2009 10 1 G",54,2009,"10",1,"G",1998,11.97,0,130.4,322.326,"10 1"
"2010 10 1 G",54,2010,"10",1,"G",1998,8.5,0,85.3,367.792,"10 1"
"2011 10 1 G",54,2011,"10",1,"G",1998,6.3,0,35.13,440.69,"10 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001 10 2 R",54,2001,"10",2,"R",1998,23.133,0,365.833,248.92,"10 2"
"2002 10 2 R",54,2002,"10",2,"R",1998,47.467,0,326.567,439.42,"10 2"
"2003 10 2 R",54,2003,"10",2,"R",1998,64.7,0,162.367,229.616,"10 2"
"2004 10 2 R",54,2004,"10",2,"R",1998,65.6333,0,41.8667,239.014,"10 2"
"2005 10 2 R",54,2005,"10",2,"R",1998,37.067,0,30.767,285.242,"10 2"
"2006 10 2 R",54,2006,"10",2,"R",1998,36.93,0,35.353,251.46,"10 2"
"2007 10 2 R",54,2007,"10",2,"R",1998,13.67,0,31.2,236.22,"10 2"
"2008 10 2 R",54,2008,"10",2,"R",1998,4.27,0,66.25,188.722,"10 2"
"2009 10 2 R",54,2009,"10",2,"R",1998,22.8,0,39.13,322.326,"10 2"
"2010 10 2 R",54,2010,"10",2,"R",1998,15.4,0,28.43,367.792,"10 2"
"2011 10 2 R",54,2011,"10",2,"R",1998,4.17,0,145.3,440.69,"10 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001 10 3 W",54,2001,"10",3,"W",1998,58.733,0,440.933,248.92,"10 3"
"2002 10 3 W",54,2002,"10",3,"W",1998,87.4,0,662.7,439.42,"10 3"
"2003 10 3 W",54,2003,"10",3,"W",1998,126.033,0,189.9,229.616,"10 3"
"2004 10 3 W",54,2004,"10",3,"W",1998,99.8,0,161.133,239.014,"10 3"
"2005 10 3 W",54,2005,"10",3,"W",1998,45.8,0,163.4,285.242,"10 3"
"2006 10 3 W",54,2006,"10",3,"W",1998,31.61,0,49.403,251.46,"10 3"
"2007 10 3 W",54,2007,"10",3,"W",1998,42.1,0,112.97,236.22,"10 3"
"2008 10 3 W",54,2008,"10",3,"W",1998,15.52,0,66,188.722,"10 3"
"2009 10 3 W",54,2009,"10",3,"W",1998,40.7,0,7.03,322.326,"10 3"
"2010 10 3 W",54,2010,"10",3,"W",1998,68.03,0,25.83,367.792,"10 3"
"2011 10 3 W",54,2011,"10",3,"W",1998,73.37,0,4.43,440.69,"10 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001 10 4 Y",54,2001,"10",4,"Y",1998,14.6,0,312.333,248.92,"10 4"
"2002 10 4 Y",54,2002,"10",4,"Y",1998,69.967,0,381.567,439.42,"10 4"
"2003 10 4 Y",54,2003,"10",4,"Y",1998,58.7667,0,156.867,229.616,"10 4"
"2004 10 4 Y",54,2004,"10",4,"Y",1998,64.2333,0.3,165.433,239.014,"10 4"
"2005 10 4 Y",54,2005,"10",4,"Y",1998,28.4,0,207.7,285.242,"10 4"
"2006 10 4 Y",54,2006,"10",4,"Y",1998,27.04,0,47.6,251.46,"10 4"
"2007 10 4 Y",54,2007,"10",4,"Y",1998,10.77,0,118.23,236.22,"10 4"
"2008 10 4 Y",54,2008,"10",4,"Y",1998,0,5.62,28.25,188.722,"10 4"
"2009 10 4 Y",54,2009,"10",4,"Y",1998,18.83,0.27,2.23,322.326,"10 4"
"2010 10 4 Y",54,2010,"10",4,"Y",1998,16.47,0,11.43,367.792,"10 4"
"2011 10 4 Y",54,2011,"10",4,"Y",1998,25.27,0,6.73,440.69,"10 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 24 1 G",54,1988,"24",1,"G",1968,12.867,0,404.233,210.312,"24 1"
"1989 24 1 G",54,1989,"24",1,"G",1968,53.067,0.17,133.2,256.54,"24 1"
"1990 24 1 G",54,1990,"24",1,"G",1968,25.18,0,320.267,585.47,"24 1"
"1991 24 1 G",54,1991,"24",1,"G",1968,27.833,0.5,169.567,359.156,"24 1"
"1992 24 1 G",54,1992,"24",1,"G",1968,10.467,0,256.7,297.434,"24 1"
"1993 24 1 G",54,1993,"24",1,"G",1968,23.933,0.333,208.967,531.876,"24 1"
"1994 24 1 G",54,1994,"24",1,"G",1968,20.6,0,286.767,314.96,"24 1"
"1995 24 1 G",54,1995,"24",1,"G",1968,20.767,10.8,266.033,440.436,"24 1"
"1996 24 1 G",54,1996,"24",1,"G",1968,21.667,0,211.133,325.628,"24 1"
"1997 24 1 G",54,1997,"24",1,"G",1968,11.467,0,218.267,408.178,"24 1"
"1998 24 1 G",54,1998,"24",1,"G",1968,0,0,289.933,263.144,"24 1"
"1999 24 1 G",54,1999,"24",1,"G",1968,21.8,0,78.9,369.062,"24 1"
"2000 24 1 G",54,2000,"24",1,"G",1968,12.5,2.933,148.833,255.016,"24 1"
"2001 24 1 G",54,2001,"24",1,"G",1968,11.367,1.8,362.5,248.92,"24 1"
"2002 24 1 G",54,2002,"24",1,"G",1968,5.333,5.333,49.4,439.42,"24 1"
"2003 24 1 G",54,2003,"24",1,"G",1968,13.4667,108.567,185.533,229.616,"24 1"
"2004 24 1 G",54,2004,"24",1,"G",1968,11.6233,49.03,60.8733,239.014,"24 1"
"2005 24 1 G",54,2005,"24",1,"G",1968,18.8,34.2,99.767,285.242,"24 1"
"2006 24 1 G",54,2006,"24",1,"G",1968,13.7,0.293,152.767,251.46,"24 1"
"2007 24 1 G",54,2007,"24",1,"G",1968,22.5,10.13,7.87,236.22,"24 1"
"2008 24 1 G",54,2008,"24",1,"G",1968,9.77,4.15,25.37,188.722,"24 1"
"2009 24 1 G",54,2009,"24",1,"G",1968,11.13,38.47,145.17,322.326,"24 1"
"2010 24 1 g",54,2010,"24",1,"g",1968,0,0,11.33,367.792,"24 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010 24 1 G",54,2010,"24",1,"G",1968,21.53,34.27,0,367.792,"24 1"
"2011 24 1 G",54,2011,"24",1,"G",1968,50.2,17.67,13.33,440.69,"24 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 24 2 R",54,1988,"24",2,"R",1968,0,0,181.467,210.312,"24 2"
"1989 24 2 R",54,1989,"24",2,"R",1968,5.45,0,138.9,256.54,"24 2"
"1990 24 2 R",54,1990,"24",2,"R",1968,0,0,179.833,585.47,"24 2"
"1991 24 2 R",54,1991,"24",2,"R",1968,0,0,70.6,359.156,"24 2"
"1992 24 2 R",54,1992,"24",2,"R",1968,0,0,121.1,297.434,"24 2"
"1993 24 2 R",54,1993,"24",2,"R",1968,0,0,119.367,531.876,"24 2"
"1994 24 2 R",54,1994,"24",2,"R",1968,0,10.7,29.167,314.96,"24 2"
"1995 24 2 R",54,1995,"24",2,"R",1968,0,34.933,106.7,440.436,"24 2"
"1996 24 2 R",54,1996,"24",2,"R",1968,0,73.1,120.1,325.628,"24 2"
"1997 24 2 R",54,1997,"24",2,"R",1968,0,5.733,118.133,408.178,"24 2"
"1998 24 2 R",54,1998,"24",2,"R",1968,0,11.433,109.767,263.144,"24 2"
"1999 24 2 R",54,1999,"24",2,"R",1968,0,21.4,37.633,369.062,"24 2"
"2000 24 2 R",54,2000,"24",2,"R",1968,0,47.067,119.033,255.016,"24 2"
"2001 24 2 R",54,2001,"24",2,"R",1968,0,28.033,92.333,248.92,"24 2"
"2002 24 2 R",54,2002,"24",2,"R",1968,0,62.667,129.633,439.42,"24 2"
"2003 24 2 R",54,2003,"24",2,"R",1968,0.21,22.9333,58.7,229.616,"24 2"
"2004 24 2 R",54,2004,"24",2,"R",1968,0,39.7667,116.667,239.014,"24 2"
"2005 24 2 R",54,2005,"24",2,"R",1968,0,19.333,83.6,285.242,"24 2"
"2006 24 2 R",54,2006,"24",2,"R",1968,0,15.55,23.963,251.46,"24 2"
"2007 24 2 R",54,2007,"24",2,"R",1968,0,93.57,22.23,236.22,"24 2"
"2008 24 2 R",54,2008,"24",2,"R",1968,5.23,21.92,27.93,188.722,"24 2"
"2009 24 2 R",54,2009,"24",2,"R",1968,7.9,0,11.13,322.326,"24 2"
"2010 24 2 R",54,2010,"24",2,"R",1968,0,57.73,12.83,367.792,"24 2"
"2011 24 2 R",54,2011,"24",2,"R",1968,0,53.53,101.3,440.69,"24 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 24 3 W",54,1988,"24",3,"W",1968,18.7,0,365.633,210.312,"24 3"
"1989 24 3 W",54,1989,"24",3,"W",1968,37.767,0,220.067,256.54,"24 3"
"1990 24 3 W",54,1990,"24",3,"W",1968,17.443,0,308.2,585.47,"24 3"
"1991 24 3 W",54,1991,"24",3,"W",1968,29.2,0,392.967,359.156,"24 3"
"1992 24 3 W",54,1992,"24",3,"W",1968,8.567,0,499.033,297.434,"24 3"
"1993 24 3 W",54,1993,"24",3,"W",1968,15.433,0,215.767,531.876,"24 3"
"1994 24 3 W",54,1994,"24",3,"W",1968,13.567,0,352.233,314.96,"24 3"
