Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________

"Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","invrichness","Field","FieldPlot"
120,1996,8,2,1,1,63.342,0.2857,6,1,"1 2"
120,1997,8,2,1,1,178.25,0.3329,7,1,"1 2"
120,1998,8,2,1,1,125.833,0.1983,8,1,"1 2"
120,1999,8,2,1,1,100.967,0.2988,13,1,"1 2"
120,2000,8,2,1,1,87.6626,0.2838,11,1,"1 2"
120,2001,8,2,1,1,139.35,0.49785,6,1,"1 2"
120,2002,8,2,1,1,144.854,0.0662,13,1,"1 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,5,1,1,171.467,0.162,6,1,"1 5"
120,1997,8,5,1,1,51.625,0.0799,9,1,"1 5"
120,1998,8,5,1,1,67.7667,0.0927,7,1,"1 5"
120,1999,8,5,1,1,43.275,0.1312,5,1,"1 5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,5,1,1,43.0707,0.0887,2,1,"1 5"
120,2002,8,5,1,1,89.8997,0.0038,8,1,"1 5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,6,2,2,63.508,0.1855,5,1,"1 6"
120,1997,8,6,2,2,91.4748,0.0486,7,1,"1 6"
120,1998,8,6,2,2,139.067,0.065,5,1,"1 6"
120,1999,8,6,2,2,80.9,0.0674,6,1,"1 6"
120,2000,8,6,2,2,53.8791,0.0797,6,1,"1 6"
120,2001,8,6,2,2,59.1082,0.11095,2,1,"1 6"
120,2002,8,6,2,2,64.3118,0,2,1,"1 6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,11,1,1,109.092,0.2342,18,1,"1 11"
120,1997,8,11,1,1,139.117,0.2454,15,1,"1 11"
120,1998,8,11,1,1,131.167,0.3516,13,1,"1 11"
120,1999,8,11,1,1,66.325,0.5372,19,1,"1 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,11,1,1,146.75,0.10765,14,1,"1 11"
120,2002,8,11,1,1,103.992,0.1063,20,1,"1 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,14,2,2,12.067,0.3026,14,1,"1 14"
120,1997,8,14,2,2,75.0585,0.2192,13,1,"1 14"
120,1998,8,14,2,2,68.025,0.2301,11,1,"1 14"
120,1999,8,14,2,2,165.833,0.3863,17,1,"1 14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,14,2,2,127.071,0.1258,4,1,"1 14"
120,2002,8,14,2,2,179.936,0.1266,15,1,"1 14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,16,1,1,29.25,0.4014,15,1,"1 16"
120,1997,8,16,1,1,91.9333,0.3286,9,1,"1 16"
120,1998,8,16,1,1,46.1667,0.2719,11,1,"1 16"
120,1999,8,16,1,1,31.6167,0.6225,14,1,"1 16"
120,2000,8,16,1,1,47.6916,0.0961,12,1,"1 16"
120,2001,8,16,1,1,61.6495,0.1729,13,1,"1 16"
120,2002,8,16,1,1,89.3005,0.15,14,1,"1 16"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1998,8,20,1,1,37.925,0.1906,9,1,"1 20"
120,1999,8,20,1,1,182.083,0.3795,18,1,"1 20"
120,2000,8,20,1,1,73.7499,0.0838,15,1,"1 20"
120,2001,8,20,1,1,99.4125,0.0855,9,1,"1 20"
120,2002,8,20,1,1,232.044,0.0666,18,1,"1 20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,29,1,1,103.55,0.3082,12,1,"1 29"
120,1997,8,29,1,1,221.15,0.2131,11,1,"1 29"
120,1998,8,29,1,1,262.05,0.1875,11,1,"1 29"
120,1999,8,29,1,1,186.917,0.3814,19,1,"1 29"
120,2000,8,29,1,1,184.192,0.1721,15,1,"1 29"
120,2001,8,29,1,1,215.631,0.1737,12,1,"1 29"
120,2002,8,29,1,1,239.149,0.1121,14,1,"1 29"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,31,1,1,195,0.0292,3,1,"1 31"
120,1997,8,31,1,1,52.0333,0,5,1,"1 31"
120,1998,8,31,1,1,50.2833,0.0104,5,1,"1 31"
120,1999,8,31,1,1,45.125,0.02,5,1,"1 31"
120,2000,8,31,1,1,46.0457,0.0164,6,1,"1 31"
120,2001,8,31,1,1,62.9877,0.05525,3,1,"1 31"
120,2002,8,31,1,1,66.8825,0,6,1,"1 31"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,32,2,2,34.683,0.0656,12,1,"1 32"
120,1997,8,32,2,2,51.6165,0.0446,7,1,"1 32"
120,1998,8,32,2,2,47.0417,0.0837,12,1,"1 32"
120,1999,8,32,2,2,45.3283,0.0259,12,1,"1 32"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,32,2,2,57.367,0.04685,4,1,"1 32"
120,2002,8,32,2,2,85.5357,0,8,1,"1 32"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,48,2,2,129.625,0.1247,20,1,"1 48"
120,1997,8,48,2,2,198.525,0.304,18,1,"1 48"
120,1998,8,48,2,2,363.425,0.0467,18,1,"1 48"
120,1999,8,48,2,2,206.921,0.2532,18,1,"1 48"
120,2000,8,48,2,2,302.729,0.0669,16,1,"1 48"
120,2001,8,48,2,2,205.779,0.24635,7,1,"1 48"
120,2002,8,48,2,2,295.34,0.0466,13,1,"1 48"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,56,2,2,93.617,0.3294,12,1,"1 56"
120,1997,8,56,2,2,150.375,0.1522,10,1,"1 56"
120,1998,8,56,2,2,250.083,0.0156,7,1,"1 56"
120,1999,8,56,2,2,230.283,0.143,4,1,"1 56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,56,2,2,205.409,0.17885,3,1,"1 56"
