Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"","Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","Field","FieldPlot"
"1",120,1996,8,2,1,1,63.342,0.2857,1,"1 2"
"169",120,1997,8,2,1,1,178.25,0.3329,1,"1 2"
"337",120,1998,8,2,1,1,125.833,0.1983,1,"1 2"
"505",120,1999,8,2,1,1,100.967,0.2988,1,"1 2"
"673",120,2000,8,2,1,1,87.6626,0.2838,1,"1 2"
"1009",120,2001,8,2,1,1,139.35,0.49785,1,"1 2"
"1177",120,2002,8,2,1,1,144.854,0.0662,1,"1 2"
"1345",120,2003,8,2,1,1,123.458,NA,1,"1 2"
"1513",120,2004,8,2,1,1,76.376,NA,1,"1 2"
"1681",120,2005,8,2,1,1,131.135,NA,1,"1 2"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",120,1996,8,3,4,5,35.167,0.2252,1,"1 3"
"170",120,1997,8,3,4,5,65.9167,0.1443,1,"1 3"
"338",120,1998,8,3,4,5,195.567,0.0707,1,"1 3"
"506",120,1999,8,3,4,5,69.4092,0.0261,1,"1 3"
"674",120,2000,8,3,4,5,46.2626,NA,1,"1 3"
"1010",120,2001,8,3,4,5,80.6292,0.18045,1,"1 3"
"1178",120,2002,8,3,4,5,143.575,0.0113,1,"1 3"
"1346",120,2003,8,3,4,5,102.462,NA,1,"1 3"
"1514",120,2004,8,3,4,5,177.661,NA,1,"1 3"
"1682",120,2005,8,3,4,5,114.641,NA,1,"1 3"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",120,1996,8,5,1,1,171.467,0.162,1,"1 5"
"171",120,1997,8,5,1,1,51.625,0.0799,1,"1 5"
"339",120,1998,8,5,1,1,67.7667,0.0927,1,"1 5"
"507",120,1999,8,5,1,1,43.275,0.1312,1,"1 5"
"675",120,2000,8,5,1,1,71.8084,NA,1,"1 5"
"1011",120,2001,8,5,1,1,43.0707,0.0887,1,"1 5"
"1179",120,2002,8,5,1,1,89.8997,0.0038,1,"1 5"
"1347",120,2003,8,5,1,1,81.3293,NA,1,"1 5"
"1515",120,2004,8,5,1,1,39.8585,NA,1,"1 5"
"1683",120,2005,8,5,1,1,96.126,NA,1,"1 5"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",120,1996,8,6,2,2,63.508,0.1855,1,"1 6"
"172",120,1997,8,6,2,2,91.4748,0.0486,1,"1 6"
"340",120,1998,8,6,2,2,139.067,0.065,1,"1 6"
"508",120,1999,8,6,2,2,80.9,0.0674,1,"1 6"
"676",120,2000,8,6,2,2,53.8791,0.0797,1,"1 6"
"1012",120,2001,8,6,2,2,59.1082,0.11095,1,"1 6"
"1180",120,2002,8,6,2,2,64.3118,0,1,"1 6"
"1348",120,2003,8,6,2,2,34.974,NA,1,"1 6"
"1516",120,2004,8,6,2,2,37.7163,NA,1,"1 6"
"1684",120,2005,8,6,2,2,44.429,NA,1,"1 6"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",120,1996,8,9,16,17,181.908,0.1217,1,"1 9"
"173",120,1997,8,9,16,17,266.05,0.0643,1,"1 9"
"341",120,1998,8,9,16,17,259.033,0.0948,1,"1 9"
"509",120,1999,8,9,16,17,323.533,0.0579,1,"1 9"
"677",120,2000,8,9,16,17,251.604,NA,1,"1 9"
"1013",120,2001,8,9,16,17,281.808,0.02935,1,"1 9"
"1181",120,2002,8,9,16,17,393.119,0.0186,1,"1 9"
"1349",120,2003,8,9,16,17,322.371,NA,1,"1 9"
"1517",120,2004,8,9,16,17,384.775,NA,1,"1 9"
"1685",120,2005,8,9,16,17,301.375,NA,1,"1 9"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",120,1996,8,11,1,1,109.092,0.2342,1,"1 11"
"174",120,1997,8,11,1,1,139.117,0.2454,1,"1 11"
"342",120,1998,8,11,1,1,131.167,0.3516,1,"1 11"
"510",120,1999,8,11,1,1,66.325,0.5372,1,"1 11"
"678",120,2000,8,11,1,1,59.3375,NA,1,"1 11"
"1014",120,2001,8,11,1,1,146.75,0.10765,1,"1 11"
"1182",120,2002,8,11,1,1,103.992,0.1063,1,"1 11"
"1350",120,2003,8,11,1,1,63.2115,NA,1,"1 11"
"1518",120,2004,8,11,1,1,74.1593,NA,1,"1 11"
"1686",120,2005,8,11,1,1,57.376,NA,1,"1 11"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",120,1996,8,12,8,10,217.733,0.1771,1,"1 12"
"175",120,1997,8,12,8,10,219.667,0.0954,1,"1 12"
"343",120,1998,8,12,8,10,388.8,0.0191,1,"1 12"
"511",120,1999,8,12,8,10,313.408,0.1071,1,"1 12"
"679",120,2000,8,12,8,10,306.896,NA,1,"1 12"
"1015",120,2001,8,12,8,10,253.259,0.13345,1,"1 12"
"1183",120,2002,8,12,8,10,328.155,0.0691,1,"1 12"
"1351",120,2003,8,12,8,10,324.227,NA,1,"1 12"
"1519",120,2004,8,12,8,10,412.591,NA,1,"1 12"
"1687",120,2005,8,12,8,10,316.774,NA,1,"1 12"
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",120,1996,8,14,2,2,12.067,0.3026,1,"1 14"
"176",120,1997,8,14,2,2,75.0585,0.2192,1,"1 14"
"344",120,1998,8,14,2,2,68.025,0.2301,1,"1 14"
"512",120,1999,8,14,2,2,165.833,0.3863,1,"1 14"
"680",120,2000,8,14,2,2,137.45,NA,1,"1 14"
"1016",120,2001,8,14,2,2,127.071,0.1258,1,"1 14"
"1184",120,2002,8,14,2,2,179.936,0.1266,1,"1 14"
"1352",120,2003,8,14,2,2,199.017,NA,1,"1 14"
"1520",120,2004,8,14,2,2,135.879,NA,1,"1 14"
"1688",120,2005,8,14,2,2,92.514,NA,1,"1 14"
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",120,1996,8,15,8,10,72.542,0.1706,1,"1 15"
"177",120,1997,8,15,8,10,166.884,0.1678,1,"1 15"
"345",120,1998,8,15,8,10,426.717,0.0835,1,"1 15"
"513",120,1999,8,15,8,10,289.05,0.3446,1,"1 15"
"681",120,2000,8,15,8,10,317.404,0.097,1,"1 15"
"1017",120,2001,8,15,8,10,180.692,0.1546,1,"1 15"
"1185",120,2002,8,15,8,10,273.38,0.0463,1,"1 15"
"1353",120,2003,8,15,8,10,260.361,NA,1,"1 15"
"1521",120,2004,8,15,8,10,235.724,NA,1,"1 15"
"1689",120,2005,8,15,8,10,170.583,NA,1,"1 15"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",120,1996,8,16,1,1,29.25,0.4014,1,"1 16"
"178",120,1997,8,16,1,1,91.9333,0.3286,1,"1 16"
"346",120,1998,8,16,1,1,46.1667,0.2719,1,"1 16"
"514",120,1999,8,16,1,1,31.6167,0.6225,1,"1 16"
"682",120,2000,8,16,1,1,47.6916,0.0961,1,"1 16"
"1018",120,2001,8,16,1,1,61.6495,0.1729,1,"1 16"
"1186",120,2002,8,16,1,1,89.3005,0.15,1,"1 16"
"1354",120,2003,8,16,1,1,62.6395,NA,1,"1 16"
"1522",120,2004,8,16,1,1,64.7055,NA,1,"1 16"
"1690",120,2005,8,16,1,1,30.058,NA,1,"1 16"
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11100",120,1996,8,20,1,1,NA,NA,1,"1 20"
"179",120,1997,8,20,1,1,52.125,NA,1,"1 20"
"347",120,1998,8,20,1,1,37.925,0.1906,1,"1 20"
"515",120,1999,8,20,1,1,182.083,0.3795,1,"1 20"
"683",120,2000,8,20,1,1,73.7499,0.0838,1,"1 20"
"1019",120,2001,8,20,1,1,99.4125,0.0855,1,"1 20"
"1187",120,2002,8,20,1,1,232.044,0.0666,1,"1 20"
"1355",120,2003,8,20,1,1,310.277,NA,1,"1 20"
"1523",120,2004,8,20,1,1,166.257,NA,1,"1 20"
"1691",120,2005,8,20,1,1,96.91,NA,1,"1 20"
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",120,1996,8,22,8,10,100.217,0.2901,1,"1 22"
"180",120,1997,8,22,8,10,112.492,0.1873,1,"1 22"
"348",120,1998,8,22,8,10,182.225,0.0734,1,"1 22"
"516",120,1999,8,22,8,10,225.215,0.3237,1,"1 22"
"684",120,2000,8,22,8,10,143.95,0.1835,1,"1 22"
"1020",120,2001,8,22,8,10,237.017,0.14105,1,"1 22"
"1188",120,2002,8,22,8,10,218.828,0.1191,1,"1 22"
"1356",120,2003,8,22,8,10,138.408,NA,1,"1 22"
"1524",120,2004,8,22,8,10,194.636,NA,1,"1 22"
"1692",120,2005,8,22,8,10,182.548,NA,1,"1 22"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",120,1996,8,24,4,4,67.425,0.0654,1,"1 24"
"181",120,1997,8,24,4,4,68.0083,0.0958,1,"1 24"
"349",120,1998,8,24,4,4,101.244,0.0896,1,"1 24"
"517",120,1999,8,24,4,4,60.26,0.1154,1,"1 24"
"685",120,2000,8,24,4,4,47.7582,0.05855,1,"1 24"
"1021",120,2001,8,24,4,4,58.042,0.10955,1,"1 24"
"1189",120,2002,8,24,4,4,79.9527,0.0267,1,"1 24"
"1357",120,2003,8,24,4,4,53.8417,NA,1,"1 24"
"1525",120,2004,8,24,4,4,48.667,NA,1,"1 24"
"1693",120,2005,8,24,4,4,54.369,NA,1,"1 24"
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",120,1996,8,26,4,4,135.55,0.1771,1,"1 26"
"182",120,1997,8,26,4,4,111.317,0.1713,1,"1 26"
"350",120,1998,8,26,4,4,94.3667,3e-04,1,"1 26"
"518",120,1999,8,26,4,4,179.975,0.0912,1,"1 26"
"686",120,2000,8,26,4,4,172.412,NA,1,"1 26"
"1022",120,2001,8,26,4,4,118.156,0.1932,1,"1 26"
"1190",120,2002,8,26,4,4,200.692,0.0183,1,"1 26"
"1358",120,2003,8,26,4,4,123.672,NA,1,"1 26"
"1526",120,2004,8,26,4,4,106.588,NA,1,"1 26"
"1694",120,2005,8,26,4,4,125.354,NA,1,"1 26"
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",120,1996,8,27,16,17,167.158,0.1113,1,"1 27"
"183",120,1997,8,27,16,17,249.5,0.1647,1,"1 27"
"351",120,1998,8,27,16,17,361.475,0.0538,1,"1 27"
"519",120,1999,8,27,16,17,305.231,0.0317,1,"1 27"
"687",120,2000,8,27,16,17,439.071,0.1183,1,"1 27"
"1023",120,2001,8,27,16,17,274.896,0.1815,1,"1 27"
"1191",120,2002,8,27,16,17,320.474,0.0177,1,"1 27"
"1359",120,2003,8,27,16,17,307.703,NA,1,"1 27"
"1527",120,2004,8,27,16,17,331.924,NA,1,"1 27"
"1695",120,2005,8,27,16,17,253.63,NA,1,"1 27"
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",120,1996,8,28,4,4,63.05,0.2067,1,"1 28"
"184",120,1997,8,28,4,4,119.567,0.3316,1,"1 28"
"352",120,1998,8,28,4,4,199.842,0.3567,1,"1 28"
"520",120,1999,8,28,4,4,263.107,0.4787,1,"1 28"
"688",120,2000,8,28,4,4,144.038,NA,1,"1 28"
"1024",120,2001,8,28,4,4,168.311,0.20065,1,"1 28"
"1192",120,2002,8,28,4,4,153.774,0.2473,1,"1 28"
"1360",120,2003,8,28,4,4,206.105,NA,1,"1 28"
"1528",120,2004,8,28,4,4,181.372,NA,1,"1 28"
"1696",120,2005,8,28,4,4,166.414,NA,1,"1 28"
"17610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",120,1996,8,29,1,1,103.55,0.3082,1,"1 29"
"185",120,1997,8,29,1,1,221.15,0.2131,1,"1 29"
"353",120,1998,8,29,1,1,262.05,0.1875,1,"1 29"
"521",120,1999,8,29,1,1,186.917,0.3814,1,"1 29"
"689",120,2000,8,29,1,1,184.192,0.1721,1,"1 29"
"1025",120,2001,8,29,1,1,215.631,0.1737,1,"1 29"
"1193",120,2002,8,29,1,1,239.149,0.1121,1,"1 29"
"1361",120,2003,8,29,1,1,410.075,NA,1,"1 29"
"1529",120,2004,8,29,1,1,182.887,NA,1,"1 29"
"1697",120,2005,8,29,1,1,88.42,NA,1,"1 29"
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",120,1996,8,30,16,17,74.175,0.1072,1,"1 30"
"186",120,1997,8,30,16,17,81.725,0.0698,1,"1 30"
"354",120,1998,8,30,16,17,180.725,0.0188,1,"1 30"
"522",120,1999,8,30,16,17,314.13,0.0795,1,"1 30"
"690",120,2000,8,30,16,17,217.804,NA,1,"1 30"
"1026",120,2001,8,30,16,17,206.232,0.0726,1,"1 30"
"1194",120,2002,8,30,16,17,238.417,0.0513,1,"1 30"
"1362",120,2003,8,30,16,17,276.936,NA,1,"1 30"
"1530",120,2004,8,30,16,17,347.992,NA,1,"1 30"
"1698",120,2005,8,30,16,17,286.359,NA,1,"1 30"
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",120,1996,8,31,1,1,195,0.0292,1,"1 31"
"1871",120,1997,8,31,1,1,52.0333,0,1,"1 31"
"355",120,1998,8,31,1,1,50.2833,0.0104,1,"1 31"
"523",120,1999,8,31,1,1,45.125,0.02,1,"1 31"
"691",120,2000,8,31,1,1,46.0457,0.0164,1,"1 31"
"1027",120,2001,8,31,1,1,62.9877,0.05525,1,"1 31"
"1195",120,2002,8,31,1,1,66.8825,0,1,"1 31"
"1363",120,2003,8,31,1,1,42.4062,NA,1,"1 31"
"1531",120,2004,8,31,1,1,40.8958,NA,1,"1 31"
"1699",120,2005,8,31,1,1,38.967,NA,1,"1 31"
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",120,1996,8,32,2,2,34.683,0.0656,1,"1 32"
"188",120,1997,8,32,2,2,51.6165,0.0446,1,"1 32"
"356",120,1998,8,32,2,2,47.0417,0.0837,1,"1 32"
"524",120,1999,8,32,2,2,45.3283,0.0259,1,"1 32"
"692",120,2000,8,32,2,2,65.2378,NA,1,"1 32"
"1028",120,2001,8,32,2,2,57.367,0.04685,1,"1 32"
"1196",120,2002,8,32,2,2,85.5357,0,1,"1 32"
"1364",120,2003,8,32,2,2,49.708,NA,1,"1 32"
"1532",120,2004,8,32,2,2,120.633,NA,1,"1 32"
"1700",120,2005,8,32,2,2,59.341,NA,1,"1 32"
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",120,1996,8,33,4,5,57.933,0.0466,1,"1 33"
"189",120,1997,8,33,4,5,89.9167,0,1,"1 33"
"357",120,1998,8,33,4,5,129.492,0.0509,1,"1 33"
"525",120,1999,8,33,4,5,53.8,0.1322,1,"1 33"
"693",120,2000,8,33,4,5,121.825,0.0184,1,"1 33"
"1029",120,2001,8,33,4,5,116.607,0.1143,1,"1 33"
"1197",120,2002,8,33,4,5,165.895,0,1,"1 33"
"1365",120,2003,8,33,4,5,167.984,NA,1,"1 33"
"1533",120,2004,8,33,4,5,169.019,NA,1,"1 33"
"1701",120,2005,8,33,4,5,149.974,NA,1,"1 33"
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210",120,1996,8,34,16,17,61.817,0.033,1,"1 34"
"190",120,1997,8,34,16,17,64.025,0.0704,1,"1 34"
