index,Exp,Year,Field,Plot,NTrt,NAdd,NitrAdd,NAtm.NAdd,fg,isspecies,richness,Agropyron repens,Schizachyrium scoparium,Miscellaneous litter,Ncat,FieldPlot
1 A 1982,1,1982,A,1,9,0,0,1,S,1,13,14.867,0,46.333,0,A 1
1 A 1983,1,1983,A,1,9,0,0,1,F,1,15,25.733,0,265.77,0,A 1
1 A 1984,1,1984,A,1,9,0,0,1,F,1,16,33.033,0,76.5,0,A 1
1 A 1985,1,1985,A,1,9,0,0,1,F,1,15,68,0,124.1,0,A 1
1 A 1986,1,1986,A,1,9,0,0,1,F,1,17,56.767,0,170.53,0,A 1
1 A 1987,1,1987,A,1,9,0,0,1,F,1,15,51.507,0,383.77,0,A 1
1 A 1988,1,1988,A,1,9,0,0,1,L,1,9,17.133,4.833,189.83,0,A 1
1 A 1989,1,1989,A,1,9,0,0,1,C4,1,8,59.3,0,224.2,0,A 1
1 A 1990,1,1990,A,1,9,0,0,1,F,1,10,18.833,67.967,394.8,0,A 1
1 A 1991,1,1991,A,1,9,0,0,1,F,1,15,34.233,1.233,278.9,0,A 1
1 A 1992,1,1992,A,1,9,0,0,1,F,1,9,9.4,28.867,395.9,0,A 1
1 A 1993,1,1993,A,1,9,0,0,1,F,1,10,10.947,41.87,282.23,0,A 1
1 A 1994,1,1994,A,1,9,0,0,1,F,1,10,1.2,78.433,533.97,0,A 1
1 A 1995,1,1995,A,1,9,0,0,1,F,1,5,2.167,38.8,603.93,0,A 1
1 A 1996,1,1996,A,1,9,0,0,1,L,1,7,0.633,71.167,184,0,A 1
1 A 1997,1,1997,A,1,9,0,0,1,F,1,5,1.867,48.633,388.43,0,A 1
1 A 1998,1,1998,A,1,9,0,0,1,F,1,4,0,87.167,593.77,0,A 1
1 A 1999,1,1999,A,1,9,0,0,1,S,1,6,0.233,155.1,726.67,0,A 1
1 A 2000,1,2000,A,1,9,0,0,1,C4,1,4,0.7,101,337.03,0,A 1
1 A 2001,1,2001,A,1,9,0,0,1,L,1,5,0.3,67.733,227.77,0,A 1
1 A 2002,1,2002,A,1,9,0,0,1,F,1,7,0.31,51.7,479,0,A 1
1 A 2003,1,2003,A,1,9,0,0,1,C3,1,4,0.7,47.033,349.97,0,A 1
1 A 2004,1,2004,A,1,9,0,0,1,F,1,6,0.7667,32.333,0.4,0,A 1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 A 2008,1,2008,A,1,9,0,0,1,C3,1,11,0.17,10.22,5.1,0,A 1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 A 1982,1,1982,A,5,9,0,0,1,F,1,9,58.8,0,51.667,0,A 5
5 A 1983,1,1983,A,5,9,0,0,1,G,1,11,42.9,0,156.7,0,A 5
5 A 1984,1,1984,A,5,9,0,0,1,F,1,18,101.87,0.067,344.93,0,A 5
5 A 1985,1,1985,A,5,9,0,0,1,F,1,12,110.57,44.133,298.37,0,A 5
5 A 1986,1,1986,A,5,9,0,0,1,F,1,18,54.033,10.06,248.97,0,A 5
5 A 1987,1,1987,A,5,9,0,0,1,F,1,12,76.233,0.033,260.57,0,A 5
5 A 1988,1,1988,A,5,9,0,0,1,C3,1,7,26.833,0.233,505.13,0,A 5
5 A 1989,1,1989,A,5,9,0,0,1,F,1,10,104.37,7.767,255.93,0,A 5
5 A 1990,1,1990,A,5,9,0,0,1,F,1,6,25,27.5,318.77,0,A 5
5 A 1991,1,1991,A,5,9,0,0,1,F,1,10,42.867,36.533,466.63,0,A 5
5 A 1992,1,1992,A,5,9,0,0,1,F,1,8,22.567,60.633,660.8,0,A 5
5 A 1993,1,1993,A,5,9,0,0,1,F,1,5,31.167,88.667,418.93,0,A 5
5 A 1994,1,1994,A,5,9,0,0,1,F,1,7,17.9,32.333,367.73,0,A 5
5 A 1995,1,1995,A,5,9,0,0,1,C3,1,10,19.667,62.567,563.63,0,A 5
5 A 1996,1,1996,A,5,9,0,0,1,F,1,6,34.667,31.267,553.27,0,A 5
5 A 1997,1,1997,A,5,9,0,0,1,F,1,4,5.633,32.933,546.93,0,A 5
5 A 1998,1,1998,A,5,9,0,0,1,F,1,4,17.767,16.333,724.6,0,A 5
5 A 1999,1,1999,A,5,9,0,0,1,O,1,5,42.467,18.133,842.67,0,A 5
5 A 2000,1,2000,A,5,9,0,0,1,F,1,4,7.633,39.033,460.07,0,A 5
5 A 2001,1,2001,A,5,9,0,0,1,O,1,4,39.8,30.767,585.7,0,A 5
5 A 2002,1,2002,A,5,9,0,0,1,C4,1,6,36.567,4.967,183.77,0,A 5
5 A 2003,1,2003,A,5,9,0,0,1,C4,1,3,59.5,7.367,221.67,0,A 5
5 A 2004,1,2004,A,5,9,0,0,1,F,1,6,126.97,5.6667,0.8667,0,A 5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 A 2008,1,2008,A,5,9,0,0,1,C3,1,7,26.62,22,0,0,A 5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 A 1982,1,1982,A,12,1,0,0,1,F,1,19,34.433,0.61,234.67,0,A 12
12 A 1983,1,1983,A,12,1,0,0,1,F,1,14,67.533,0,96.833,0,A 12
12 A 1984,1,1984,A,12,1,0,0,1,F,1,13,39,0,174.63,0,A 12
12 A 1985,1,1985,A,12,1,0,0,1,F,1,14,77.967,22.94,423.07,0,A 12
12 A 1986,1,1986,A,12,1,0,0,1,F,1,10,18.713,0,237.37,0,A 12
12 A 1987,1,1987,A,12,1,0,0,1,F,1,10,29.267,87.233,447.6,0,A 12
12 A 1988,1,1988,A,12,1,0,0,1,F,1,7,7.633,0.067,294.6,0,A 12
12 A 1989,1,1989,A,12,1,0,0,1,C4,1,4,62.267,5.7,504.77,0,A 12
12 A 1990,1,1990,A,12,1,0,0,1,F,1,7,25.133,0,240.87,0,A 12
12 A 1991,1,1991,A,12,1,0,0,1,S,1,4,65,13.867,477.47,0,A 12
12 A 1992,1,1992,A,12,1,0,0,1,F,1,6,28.7,25.667,366.63,0,A 12
12 A 1993,1,1993,A,12,1,0,0,1,F,1,10,51.967,21.3,213.77,0,A 12
12 A 1994,1,1994,A,12,1,0,0,1,C3,1,3,23.767,41.867,408.53,0,A 12
12 A 1995,1,1995,A,12,1,0,0,1,F,1,7,43.1,81.067,385.83,0,A 12
12 A 1996,1,1996,A,12,1,0,0,1,S,1,4,58.267,24.033,447.87,0,A 12
12 A 1997,1,1997,A,12,1,0,0,1,S,1,4,12.6,105.73,510.93,0,A 12
12 A 1998,1,1998,A,12,1,0,0,1,S,1,4,48.567,23.167,612.47,0,A 12
12 A 1999,1,1999,A,12,1,0,0,1,F,1,5,24.133,50.067,719.17,0,A 12
12 A 2000,1,2000,A,12,1,0,0,1,F,1,5,33.833,24.667,451.63,0,A 12
12 A 2001,1,2001,A,12,1,0,0,1,F,1,8,29.567,1.9,303.27,0,A 12
12 A 2002,1,2002,A,12,1,0,0,1,C4,1,7,19.267,11.633,347.93,0,A 12
12 A 2003,1,2003,A,12,1,0,0,1,F,1,5,52.733,32.933,768,0,A 12
12 A 2004,1,2004,A,12,1,0,0,1,F,1,6,40.967,2.7,1,0,A 12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 A 2008,1,2008,A,12,1,0,0,1,C3,1,6,18.02,15.03,0.33,0,A 12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20 A 1982,1,1982,A,20,9,0,0,1,F,1,9,45.067,0,247.3,0,A 20
20 A 1983,1,1983,A,20,9,0,0,1,C4,1,11,46.1,0,253.8,0,A 20
20 A 1984,1,1984,A,20,9,0,0,1,G,1,13,56,0,96.733,0,A 20
20 A 1985,1,1985,A,20,9,0,0,1,F,1,12,94.7,0,259.53,0,A 20
20 A 1986,1,1986,A,20,9,0,0,1,F,1,18,110.23,0,515.47,0,A 20
20 A 1987,1,1987,A,20,9,0,0,1,F,1,10,70.94,0,158.83,0,A 20
20 A 1988,1,1988,A,20,9,0,0,1,C4,1,6,26.8,0,198.2,0,A 20
20 A 1989,1,1989,A,20,9,0,0,1,F,1,5,62.833,0,251.27,0,A 20
20 A 1990,1,1990,A,20,9,0,0,1,F,1,8,26.733,0,91.927,0,A 20
20 A 1991,1,1991,A,20,9,0,0,1,F,1,10,29.433,37.9,188.63,0,A 20
20 A 1992,1,1992,A,20,9,0,0,1,F,1,8,34.633,10.633,241.73,0,A 20
20 A 1993,1,1993,A,20,9,0,0,1,C3,1,14,24.133,49.867,155.9,0,A 20
20 A 1994,1,1994,A,20,9,0,0,1,F,1,8,3,80.6,331.03,0,A 20
20 A 1995,1,1995,A,20,9,0,0,1,F,1,10,5.967,89.767,314.87,0,A 20
20 A 1996,1,1996,A,20,9,0,0,1,F,1,5,5.7,96.4,358.47,0,A 20
20 A 1997,1,1997,A,20,9,0,0,1,F,1,4,2.6,44.4,475.8,0,A 20
20 A 1998,1,1998,A,20,9,0,0,1,F,1,5,5.233,104.43,383.77,0,A 20
20 A 1999,1,1999,A,20,9,0,0,1,F,1,4,1.1,135.03,579.3,0,A 20
20 A 2000,1,2000,A,20,9,0,0,1,C3,1,5,0.1,79.367,315.67,0,A 20
20 A 2001,1,2001,A,20,9,0,0,1,C4,1,2,0,31.803,389.83,0,A 20
20 A 2002,1,2002,A,20,9,0,0,1,F,1,4,0.833,60.767,543.07,0,A 20
20 A 2003,1,2003,A,20,9,0,0,1,L,1,5,1.6,35,427.83,0,A 20
20 A 2004,1,2004,A,20,9,0,0,1,F,1,7,4.44,29.893,0.26,0,A 20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20 A 2008,1,2008,A,20,9,0,0,1,F,1,6,4.2,27.53,1.13,0,A 20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22 A 1982,1,1982,A,22,1,0,0,1,F,1,15,33.8,0,158.77,0,A 22
22 A 1983,1,1983,A,22,1,0,0,1,F,1,13,65.333,0,246.7,0,A 22
22 A 1984,1,1984,A,22,1,0,0,1,F,1,17,70.433,0,97.643,0,A 22
22 A 1985,1,1985,A,22,1,0,0,1,C4,1,10,100.03,0,175.17,0,A 22
22 A 1986,1,1986,A,22,1,0,0,1,F,1,21,78.833,0,229.6,0,A 22
22 A 1987,1,1987,A,22,1,0,0,1,L,1,13,73.64,0,367.87,0,A 22
22 A 1988,1,1988,A,22,1,0,0,1,C4,1,8,32,0.067,316.6,0,A 22
22 A 1989,1,1989,A,22,1,0,0,1,F,1,10,115.03,0.6,218.8,0,A 22
22 A 1990,1,1990,A,22,1,0,0,1,F,1,13,45.39,8.933,160.03,0,A 22
22 A 1991,1,1991,A,22,1,0,0,1,F,1,10,42.5,9.533,189.5,0,A 22
22 A 1992,1,1992,A,22,1,0,0,1,F,1,8,17.8,17.6,456.53,0,A 22
22 A 1993,1,1993,A,22,1,0,0,1,F,1,16,32.1,16.9,310,0,A 22
22 A 1994,1,1994,A,22,1,0,0,1,F,1,11,14.433,43,292.43,0,A 22
22 A 1995,1,1995,A,22,1,0,0,1,F,1,8,16.1,64.933,424.47,0,A 22
22 A 1996,1,1996,A,22,1,0,0,1,F,1,7,31.967,75.467,502.67,0,A 22
22 A 1997,1,1997,A,22,1,0,0,1,F,1,4,5.767,88.633,606.6,0,A 22
22 A 1998,1,1998,A,22,1,0,0,1,C3,1,3,8.133,131.43,616.73,0,A 22
22 A 1999,1,1999,A,22,1,0,0,1,F,1,5,17.067,77.933,729.7,0,A 22
22 A 2000,1,2000,A,22,1,0,0,1,F,1,6,18,113.1,720.43,0,A 22
22 A 2001,1,2001,A,22,1,0,0,1,F,1,5,33.3,87.3,499.93,0,A 22
22 A 2002,1,2002,A,22,1,0,0,1,F,1,5,17.5,36.967,976.87,0,A 22
22 A 2003,1,2003,A,22,1,0,0,1,C4,1,4,26.333,6.467,374.1,0,A 22
22 A 2004,1,2004,A,22,1,0,0,1,F,1,6,48.22,3.57,23.47,0,A 22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22 A 2008,1,2008,A,22,1,0,0,1,C3,1,7,21.87,32.95,0.49,0,A 22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33 A 1982,1,1982,A,33,9,0,0,1,F,1,11,34.4,0,177.4,0,A 33
33 A 1983,1,1983,A,33,9,0,0,1,F,1,12,19.467,0,208.33,0,A 33
33 A 1984,1,1984,A,33,9,0,0,1,F,1,16,27.333,0,80.667,0,A 33
33 A 1985,1,1985,A,33,9,0,0,1,O,1,7,196.53,0,246,0,A 33
33 A 1986,1,1986,A,33,9,0,0,1,F,1,19,45.4,0,213.4,0,A 33
33 A 1987,1,1987,A,33,9,0,0,1,C4,1,13,52.17,0,205.07,0,A 33
33 A 1988,1,1988,A,33,9,0,0,1,L,1,8,14.167,0,201.87,0,A 33
33 A 1989,1,1989,A,33,9,0,0,1,F,1,8,64.9,0.733,194.83,0,A 33
33 A 1990,1,1990,A,33,9,0,0,1,F,1,11,14.767,0,125.5,0,A 33
33 A 1991,1,1991,A,33,9,0,0,1,C4,1,16,54.133,5.7,204.07,0,A 33
33 A 1992,1,1992,A,33,9,0,0,1,F,1,12,8.867,22,306.63,0,A 33
33 A 1993,1,1993,A,33,9,0,0,1,C4,1,13,19.733,5.3,188.63,0,A 33
33 A 1994,1,1994,A,33,9,0,0,1,F,1,10,8.817,17.157,388.77,0,A 33
33 A 1995,1,1995,A,33,9,0,0,1,F,1,13,10.633,61.967,366.07,0,A 33
33 A 1996,1,1996,A,33,9,0,0,1,O,1,6,17.333,25.8,343.63,0,A 33
33 A 1997,1,1997,A,33,9,0,0,1,F,1,7,3.067,61.2,531.83,0,A 33
33 A 1998,1,1998,A,33,9,0,0,1,L,1,8,8.033,65.233,400,0,A 33
33 A 1999,1,1999,A,33,9,0,0,1,L,1,7,6.833,111.27,683.7,0,A 33
33 A 2000,1,2000,A,33,9,0,0,1,C3,1,7,3.833,77.867,488.2,0,A 33
33 A 2001,1,2001,A,33,9,0,0,1,F,1,11,11.233,45.25,524.9,0,A 33
33 A 2002,1,2002,A,33,9,0,0,1,F,1,4,6.167,31.1,372.33,0,A 33
33 A 2003,1,2003,A,33,9,0,0,1,F,1,4,19.867,2.433,248.87,0,A 33
33 A 2004,1,2004,A,33,9,0,0,1,F,1,11,33.967,32.4,4.0667,0,A 33
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33 A 2008,1,2008,A,33,9,0,0,1,F,1,8,14.58,24.27,4.93,0,A 33
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 A 1982,1,1982,A,45,1,0,0,1,C4,1,11,28.4,0,52.267,0,A 45
45 A 1983,1,1983,A,45,1,0,0,1,F,1,9,68.467,0,96.8,0,A 45
45 A 1984,1,1984,A,45,1,0,0,1,F,1,13,150.23,0,128.13,0,A 45
45 A 1985,1,1985,A,45,1,0,0,1,F,1,13,117.5,0,170.67,0,A 45
45 A 1986,1,1986,A,45,1,0,0,1,F,1,12,57.967,0,299.9,0,A 45
45 A 1987,1,1987,A,45,1,0,0,1,F,1,10,62.08,0,302.47,0,A 45
45 A 1988,1,1988,A,45,1,0,0,1,F,1,6,11.3,0.067,358.5,0,A 45
45 A 1989,1,1989,A,45,1,0,0,1,F,1,10,176.9,0,282.3,0,A 45
45 A 1990,1,1990,A,45,1,0,0,1,F,1,5,29.867,0,181.07,0,A 45
45 A 1991,1,1991,A,45,1,0,0,1,C4,1,7,101.4,0,394.83,0,A 45
45 A 1992,1,1992,A,45,1,0,0,1,F,1,5,27.933,1.2,374.2,0,A 45
45 A 1993,1,1993,A,45,1,0,0,1,F,1,8,34.533,0,371.43,0,A 45
45 A 1994,1,1994,A,45,1,0,0,1,F,1,4,32.733,0,310.8,0,A 45
45 A 1995,1,1995,A,45,1,0,0,1,F,1,11,30.767,0.967,411.27,0,A 45
45 A 1996,1,1996,A,45,1,0,0,1,C4,1,4,49.1,11.733,444.87,0,A 45
45 A 1997,1,1997,A,45,1,0,0,1,F,1,7,13.933,0.567,480.6,0,A 45
45 A 1998,1,1998,A,45,1,0,0,1,F,1,4,40.433,0,464.77,0,A 45
45 A 1999,1,1999,A,45,1,0,0,1,F,1,5,53.96,0,644.99,0,A 45
45 A 2000,1,2000,A,45,1,0,0,1,C4,1,4,16.9,2.6,349.7,0,A 45
45 A 2001,1,2001,A,45,1,0,0,1,F,1,6,21.067,0.12,372.4,0,A 45
45 A 2002,1,2002,A,45,1,0,0,1,F,1,4,10.7,0,336.37,0,A 45
45 A 2003,1,2003,A,45,1,0,0,1,F,1,5,26.367,22.3,271.63,0,A 45
45 A 2004,1,2004,A,45,1,0,0,1,F,1,8,47.803,12.443,6.7533,0,A 45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 A 2008,1,2008,A,45,1,0,0,1,F,1,7,29.05,17.12,1.28,0,A 45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 A 1982,1,1982,A,46,9,0,0,1,C3,1,6,52.467,0,72.667,0,A 46
46 A 1983,1,1983,A,46,9,0,0,1,F,1,15,3.733,0,134.47,0,A 46
46 A 1984,1,1984,A,46,9,0,0,1,F,1,21,22.867,0,116.67,0,A 46
46 A 1985,1,1985,A,46,9,0,0,1,S,1,15,115.93,0,180.7,0,A 46
46 A 1986,1,1986,A,46,9,0,0,1,F,1,17,43.367,0,124.9,0,A 46
46 A 1987,1,1987,A,46,9,0,0,1,F,1,10,88.467,0,348,0,A 46
