Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","insectcount","insectsp","Field","FieldPlot"
120,1996,8,2,1,1,63.342,0.2857,105,36,1,"1 2"
120,1997,8,2,1,1,178.25,0.3329,173,57,1,"1 2"
120,1998,8,2,1,1,125.833,0.1983,179,55,1,"1 2"
120,1999,8,2,1,1,100.967,0.2988,242,52,1,"1 2"
120,2000,8,2,1,1,87.6626,0.2838,158,40,1,"1 2"
120,2001,8,2,1,1,139.35,0.49785,NA,NA,1,"1 2"
120,2002,8,2,1,1,144.854,0.0662,NA,NA,1,"1 2"
120,2003,8,2,1,1,123.458,NA,26,14,1,"1 2"
120,2004,8,2,1,1,76.376,NA,27,11,1,"1 2"
120,2005,8,2,1,1,131.135,NA,38,16,1,"1 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,3,4,5,35.167,0.2252,253,36,1,"1 3"
120,1997,8,3,4,5,65.9167,0.1443,197,79,1,"1 3"
120,1998,8,3,4,5,195.567,0.0707,180,62,1,"1 3"
120,1999,8,3,4,5,69.4092,0.0261,131,32,1,"1 3"
120,2000,8,3,4,5,46.2626,NA,52,30,1,"1 3"
120,2001,8,3,4,5,80.6292,0.18045,NA,NA,1,"1 3"
120,2002,8,3,4,5,143.575,0.0113,NA,NA,1,"1 3"
120,2003,8,3,4,5,102.462,NA,33,15,1,"1 3"
120,2004,8,3,4,5,177.661,NA,20,10,1,"1 3"
120,2005,8,3,4,5,114.641,NA,47,19,1,"1 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,5,1,1,171.467,0.162,86,29,1,"1 5"
120,1997,8,5,1,1,51.625,0.0799,209,77,1,"1 5"
120,1998,8,5,1,1,67.7667,0.0927,72,33,1,"1 5"
120,1999,8,5,1,1,43.275,0.1312,48,28,1,"1 5"
120,2000,8,5,1,1,71.8084,NA,40,18,1,"1 5"
120,2001,8,5,1,1,43.0707,0.0887,NA,NA,1,"1 5"
120,2002,8,5,1,1,89.8997,0.0038,NA,NA,1,"1 5"
120,2003,8,5,1,1,81.3293,NA,10,5,1,"1 5"
120,2004,8,5,1,1,39.8585,NA,30,10,1,"1 5"
120,2005,8,5,1,1,96.126,NA,18,12,1,"1 5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,6,2,2,63.508,0.1855,96,39,1,"1 6"
120,1997,8,6,2,2,91.4748,0.0486,219,79,1,"1 6"
120,1998,8,6,2,2,139.067,0.065,138,46,1,"1 6"
120,1999,8,6,2,2,80.9,0.0674,81,29,1,"1 6"
120,2000,8,6,2,2,53.8791,0.0797,76,19,1,"1 6"
120,2001,8,6,2,2,59.1082,0.11095,NA,NA,1,"1 6"
120,2002,8,6,2,2,64.3118,0,NA,NA,1,"1 6"
120,2003,8,6,2,2,34.974,NA,9,7,1,"1 6"
120,2004,8,6,2,2,37.7163,NA,12,7,1,"1 6"
120,2005,8,6,2,2,44.429,NA,16,10,1,"1 6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,9,16,17,181.908,0.1217,150,43,1,"1 9"
120,1997,8,9,16,17,266.05,0.0643,197,93,1,"1 9"
120,1998,8,9,16,17,259.033,0.0948,144,59,1,"1 9"
120,1999,8,9,16,17,323.533,0.0579,468,60,1,"1 9"
120,2000,8,9,16,17,251.604,NA,170,43,1,"1 9"
120,2001,8,9,16,17,281.808,0.02935,NA,NA,1,"1 9"
120,2002,8,9,16,17,393.119,0.0186,NA,NA,1,"1 9"
120,2003,8,9,16,17,322.371,NA,41,23,1,"1 9"
120,2004,8,9,16,17,384.775,NA,49,26,1,"1 9"
120,2005,8,9,16,17,301.375,NA,51,18,1,"1 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,11,1,1,109.092,0.2342,271,36,1,"1 11"
120,1997,8,11,1,1,139.117,0.2454,421,104,1,"1 11"
120,1998,8,11,1,1,131.167,0.3516,233,50,1,"1 11"
120,1999,8,11,1,1,66.325,0.5372,475,63,1,"1 11"
120,2000,8,11,1,1,59.3375,NA,139,41,1,"1 11"
120,2001,8,11,1,1,146.75,0.10765,NA,NA,1,"1 11"
120,2002,8,11,1,1,103.992,0.1063,NA,NA,1,"1 11"
120,2003,8,11,1,1,63.2115,NA,38,29,1,"1 11"
120,2004,8,11,1,1,74.1593,NA,25,12,1,"1 11"
120,2005,8,11,1,1,57.376,NA,114,24,1,"1 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,12,8,10,217.733,0.1771,154,61,1,"1 12"
120,1997,8,12,8,10,219.667,0.0954,222,99,1,"1 12"
120,1998,8,12,8,10,388.8,0.0191,134,61,1,"1 12"
120,1999,8,12,8,10,313.408,0.1071,437,44,1,"1 12"
120,2000,8,12,8,10,306.896,NA,147,38,1,"1 12"
120,2001,8,12,8,10,253.259,0.13345,NA,NA,1,"1 12"
120,2002,8,12,8,10,328.155,0.0691,NA,NA,1,"1 12"
120,2003,8,12,8,10,324.227,NA,NA,1,1,"1 12"
120,2004,8,12,8,10,412.591,NA,20,17,1,"1 12"
120,2005,8,12,8,10,316.774,NA,50,28,1,"1 12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,14,2,2,12.067,0.3026,84,14,1,"1 14"
120,1997,8,14,2,2,75.0585,0.2192,130,50,1,"1 14"
120,1998,8,14,2,2,68.025,0.2301,46,24,1,"1 14"
