Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","invrichness","Field","FieldPlot"
120,1996,8,9,16,17,181.908,0.1217,14,1,"1 9"
120,1997,8,9,16,17,266.05,0.0643,10,1,"1 9"
120,1998,8,9,16,17,259.033,0.0948,12,1,"1 9"
120,1999,8,9,16,17,323.533,0.0579,9,1,"1 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,9,16,17,281.808,0.02935,3,1,"1 9"
120,2002,8,9,16,17,393.119,0.0186,4,1,"1 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,27,16,17,167.158,0.1113,14,1,"1 27"
120,1997,8,27,16,17,249.5,0.1647,7,1,"1 27"
120,1998,8,27,16,17,361.475,0.0538,6,1,"1 27"
120,1999,8,27,16,17,305.231,0.0317,6,1,"1 27"
120,2000,8,27,16,17,439.071,0.1183,6,1,"1 27"
120,2001,8,27,16,17,274.896,0.1815,7,1,"1 27"
120,2002,8,27,16,17,320.474,0.0177,7,1,"1 27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,30,16,17,74.175,0.1072,13,1,"1 30"
120,1997,8,30,16,17,81.725,0.0698,10,1,"1 30"
120,1998,8,30,16,17,180.725,0.0188,9,1,"1 30"
120,1999,8,30,16,17,314.13,0.0795,10,1,"1 30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,30,16,17,206.232,0.0726,5,1,"1 30"
120,2002,8,30,16,17,238.417,0.0513,6,1,"1 30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,34,16,17,61.817,0.033,8,1,"1 34"
120,1997,8,34,16,17,64.025,0.0704,8,1,"1 34"
120,1998,8,34,16,17,88.8333,0,5,1,"1 34"
120,1999,8,34,16,17,85.6917,0.0112,5,1,"1 34"
