Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","invrichness","Field","FieldPlot"
120,1996,8,3,4,5,35.167,0.2252,11,1,"1 3"
120,1997,8,3,4,5,65.9167,0.1443,7,1,"1 3"
120,1998,8,3,4,5,195.567,0.0707,8,1,"1 3"
120,1999,8,3,4,5,69.4092,0.0261,7,1,"1 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,3,4,5,80.6292,0.18045,3,1,"1 3"
120,2002,8,3,4,5,143.575,0.0113,9,1,"1 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,12,8,10,217.733,0.1771,15,1,"1 12"
120,1997,8,12,8,10,219.667,0.0954,4,1,"1 12"
120,1998,8,12,8,10,388.8,0.0191,5,1,"1 12"
120,1999,8,12,8,10,313.408,0.1071,5,1,"1 12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,12,8,10,253.259,0.13345,0,1,"1 12"
120,2002,8,12,8,10,328.155,0.0691,5,1,"1 12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,15,8,10,72.542,0.1706,20,1,"1 15"
120,1997,8,15,8,10,166.884,0.1678,17,1,"1 15"
120,1998,8,15,8,10,426.717,0.0835,19,1,"1 15"
120,1999,8,15,8,10,289.05,0.3446,21,1,"1 15"
120,2000,8,15,8,10,317.404,0.097,20,1,"1 15"
120,2001,8,15,8,10,180.692,0.1546,10,1,"1 15"
120,2002,8,15,8,10,273.38,0.0463,12,1,"1 15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,22,8,10,100.217,0.2901,22,1,"1 22"
120,1997,8,22,8,10,112.492,0.1873,19,1,"1 22"
120,1998,8,22,8,10,182.225,0.0734,12,1,"1 22"
120,1999,8,22,8,10,225.215,0.3237,13,1,"1 22"
120,2000,8,22,8,10,143.95,0.1835,13,1,"1 22"
120,2001,8,22,8,10,237.017,0.14105,8,1,"1 22"
120,2002,8,22,8,10,218.828,0.1191,9,1,"1 22"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,24,4,4,67.425,0.0654,14,1,"1 24"
120,1997,8,24,4,4,68.0083,0.0958,10,1,"1 24"
120,1998,8,24,4,4,101.244,0.0896,8,1,"1 24"
120,1999,8,24,4,4,60.26,0.1154,7,1,"1 24"
120,2000,8,24,4,4,47.7582,0.05855,6,1,"1 24"
120,2001,8,24,4,4,58.042,0.10955,5,1,"1 24"
120,2002,8,24,4,4,79.9527,0.0267,10,1,"1 24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,26,4,4,135.55,0.1771,16,1,"1 26"
120,1997,8,26,4,4,111.317,0.1713,14,1,"1 26"
120,1998,8,26,4,4,94.3667,3e-04,11,1,"1 26"
120,1999,8,26,4,4,179.975,0.0912,8,1,"1 26"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
